PLAYER,TEAM,GP,W,L,MIN,PTS,Pull Up FGM,Pull Up FGA,Pull Up FG%,Pull Up 3PM,Pull Up 3PA,Pull Up 3P%,Pull Up eFG%,FGM,FGA,FG%,3PM,3PA,3P%,Freq%
Trae Young,ATL,76,36,40,36.0,10.4,4.0,10.6,37.9,2.4,7.0,34.2,49.2,7.4,18.1,41.1,2.9,8.4,34.0,0.59
DeMar DeRozan,SAC,77,38,39,35.9,9.5,4.6,9.9,47.2,0.2,0.9,26.4,48.4,8.1,17.0,47.7,1.1,3.3,32.8,0.58
Josh Hart,NYK,77,48,29,37.6,1.8,0.8,2.0,38.4,0.3,0.9,33.3,46.4,5.2,10.0,52.5,1.1,3.3,33.3,0.20
Keldon Johnson,SAS,77,31,46,23.9,0.8,0.3,0.8,35.4,0.2,0.6,37.8,48.5,4.8,10.0,48.2,1.1,3.6,31.8,0.08
Kentavious Caldwell-Pope,MEM,77,38,39,29.6,2.1,0.9,2.2,42.8,0.2,0.8,28.6,48.2,3.1,7.1,43.9,1.5,4.3,34.2,0.31
Tim Hardaway Jr.,DET,77,41,36,28.0,2.0,0.8,2.4,34.6,0.4,1.0,33.8,42.0,3.6,8.8,40.6,2.2,5.9,36.8,0.27
Tyler Herro,MIA,77,37,40,35.4,8.1,3.3,7.6,42.9,1.5,4.3,35.3,52.8,8.5,17.9,47.2,3.3,8.7,37.5,0.42
Anthony Black,ORL,78,39,39,24.2,1.3,0.6,1.7,33.1,0.2,0.6,28.6,38.2,3.4,7.9,42.3,0.8,2.5,31.8,0.22
Max Christie,DAL,78,40,38,27.3,1.1,0.5,1.7,27.9,0.1,0.6,15.6,30.5,3.2,7.6,42.7,1.5,4.0,36.6,0.22
Nicolas Batum,LAC,78,47,31,17.5,0.1,0.0,0.2,16.7,0.0,0.1,20.0,25.0,1.3,3.1,43.7,1.1,2.6,43.3,0.06
