Season,Team,Returning_Minutes_Top8_Pct,Star_Weighted_Continuity,New_Players_Top8,Returning_Minutes_FullRoster_Pct,Total_Prev_Minutes_Top8,Total_Prev_Minutes_FullRoster
2017-18,Portland Trail Blazers,86.23,86.05,9,45.98,204.0,563.9
2017-18,Sacramento Kings,9.1,8.86,17,20.47,207.7,675.0
2017-18,San Antonio Spurs,80.96,81.92,11,42.07,190.1,537.9
2017-18,Toronto Raptors,54.44,56.2,14,37.23,216.2,598.1
2017-18,Utah Jazz,63.96,62.95,16,31.78,206.7,550.6
2017-18,Washington Wizards,91.41,92.2,10,41.35,201.5,569.5
2018-19,Atlanta Hawks,40.35,40.6,19,24.32,189.6,650.2
2018-19,Boston Celtics,100.0,100.0,9,49.12,214.8,585.7
2018-19,Brooklyn Nets,81.3,81.67,13,32.62,206.4,654.6
2018-19,Charlotte Hornets,77.88,77.84,11,39.96,210.2,554.8
2018-19,Chicago Bulls,66.82,66.9,17,35.27,201.0,672.0
2018-19,Cleveland Cavaliers,59.15,57.22,22,33.94,204.4,683.2
2018-19,Dallas Mavericks,85.65,85.83,14,36.03,193.7,652.7
2018-19,Denver Nuggets,100.0,100.0,10,41.99,208.7,589.0
2018-19,Detroit Pistons,68.67,68.62,15,36.21,213.2,647.4
2018-19,Golden State Warriors,88.16,88.88,11,41.35,195.9,557.9
2018-19,Houston Rockets,74.62,76.34,17,29.17,236.4,678.5
2018-19,Indiana Pacers,100.0,100.0,9,39.52,207.9,554.9
2018-19,Los Angeles Clippers,49.26,49.51,18,35.9,236.1,701.6
2018-19,Los Angeles Lakers,68.29,67.86,17,30.76,227.4,689.2
2018-19,Memphis Grizzlies,62.99,62.84,24,30.01,183.2,751.0
2018-19,Miami Heat,100.0,100.0,10,52.94,210.4,622.0
2018-19,Milwaukee Bucks,76.75,78.38,19,36.83,209.0,653.8
2018-19,Minnesota Timberwolves,88.72,89.63,15,41.45,217.2,535.6
2018-19,New Orleans Pelicans,52.72,54.52,17,31.91,192.7,637.2
2018-19,New York Knicks,54.28,54.05,19,35.84,178.7,635.0
2018-19,Oklahoma City Thunder,64.75,66.87,14,33.75,194.6,550.3
2018-19,Orlando Magic,69.83,70.24,12,35.34,188.9,630.2
2018-19,Philadelphia 76ers,84.89,85.98,20,34.8,201.8,641.4
2018-19,Phoenix Suns,33.27,32.7,22,26.53,202.9,699.6
2018-19,Portland Trail Blazers,71.7,73.46,13,41.26,190.8,539.7
2018-19,Sacramento Kings,42.68,43.27,17,31.45,170.8,605.1
2018-19,San Antonio Spurs,51.79,52.65,12,26.17,201.4,556.3
2018-19,Toronto Raptors,73.23,72.62,16,41.4,196.1,534.3
2018-19,Utah Jazz,100.0,100.0,10,47.62,189.6,600.8
2018-19,Washington Wizards,73.76,74.51,20,39.23,205.8,550.1
