Season,Team,Games_Missed_Top8,Star_Weighted_Games_Missed_Top8,Injury_Prone_Count,Top_Player_Games
2016-17,Washington Wizards,76.0,95.5975417476996,11,82
2017-18,Atlanta Hawks,163.0,204.47552476564863,17,82
2017-18,Boston Celtics,104.0,136.74724960278667,13,82
2017-18,Brooklyn Nets,81.0,101.36338986780936,14,82
2017-18,Charlotte Hornets,38.0,49.22074699285745,8,82
2017-18,Chicago Bulls,192.0,240.51882513623903,14,82
2017-18,Cleveland Cavaliers,240.0,299.65945001903555,18,82
2017-18,Dallas Mavericks,128.0,159.0206618062937,15,82
2017-18,Denver Nuggets,131.0,168.3583955943094,11,82
2017-18,Detroit Pistons,207.0,267.8480083146149,16,82
2017-18,Golden State Warriors,135.0,180.1841501785244,7,82
2017-18,Houston Rockets,151.0,198.7904876560372,18,82
2017-18,Indiana Pacers,48.0,64.34134960584109,11,82
2017-18,Los Angeles Clippers,260.0,335.8629652957738,15,82
2017-18,Los Angeles Lakers,211.0,263.1916951409803,19,82
2017-18,Memphis Grizzlies,290.0,363.3662834108905,20,82
2017-18,Miami Heat,112.0,140.85156788963343,11,82
2017-18,Milwaukee Bucks,116.0,147.49684322451304,18,82
2017-18,Minnesota Timberwolves,52.0,70.8912341916969,8,82
2017-18,New Orleans Pelicans,111.0,147.23230446515166,17,82
2017-18,New York Knicks,164.0,204.51744922804133,15,82
2017-18,Oklahoma City Thunder,123.0,156.95085806957144,8,82
2017-18,Orlando Magic,190.0,238.9707098374788,14,82
2017-18,Philadelphia 76ers,151.0,193.5112168042299,16,82
2017-18,Phoenix Suns,228.0,296.8323347066236,15,82
2017-18,Portland Trail Blazers,60.0,78.84169416380621,7,82
2017-18,Sacramento Kings,103.0,128.38377502231444,11,82
2017-18,San Antonio Spurs,130.0,167.6653095391493,7,82
2017-18,Toronto Raptors,37.0,49.79702559670198,7,82
2017-18,Utah Jazz,137.0,176.1556321099964,13,82
2017-18,Washington Wizards,65.0,85.54291926935463,6,82
2018-19,Atlanta Hawks,89.0,111.0992151051176,15,82
2018-19,Boston Celtics,130.0,167.92286425093727,8,82
2018-19,Brooklyn Nets,119.0,149.24299768894363,12,82
2018-19,Charlotte Hornets,70.0,89.39749226587679,10,82
2018-19,Chicago Bulls,350.0,442.22782160695687,18,82
2018-19,Cleveland Cavaliers,191.0,242.2413325213556,23,82
2018-19,Dallas Mavericks,227.0,282.9859311517984,15,82
2018-19,Denver Nuggets,86.0,108.84554590203956,9,82
2018-19,Detroit Pistons,147.0,186.0742344110841,13,82
2018-19,Golden State Warriors,105.0,142.0439759359407,6,82
2018-19,Houston Rockets,164.0,209.487082816504,18,82
2018-19,Indiana Pacers,121.0,155.21544488859078,9,82
2018-19,Los Angeles Clippers,142.0,178.82425535240196,16,82
2018-19,Los Angeles Lakers,218.0,277.2522489018746,17,82
2018-19,Memphis Grizzlies,275.0,344.87157115974753,27,82
2018-19,Miami Heat,173.0,215.56273796179192,11,82
2018-19,Milwaukee Bucks,127.0,167.31491354216664,17,82
2018-19,Minnesota Timberwolves,229.0,304.3221616366117,13,82
2018-19,New Orleans Pelicans,182.0,237.42987840487365,16,82
2018-19,New York Knicks,279.0,344.3905004915325,18,82
2018-19,Oklahoma City Thunder,80.0,103.1889326420631,10,82
2018-19,Orlando Magic,57.0,69.61663328494569,10,82
2018-19,Philadelphia 76ers,247.0,328.35753904077256,22,82
2018-19,Phoenix Suns,235.0,292.26794627041056,18,82
2018-19,Portland Trail Blazers,161.0,210.74385623238524,10,82
2018-19,Sacramento Kings,128.0,156.75238761598945,14,82
2018-19,San Antonio Spurs,37.0,48.67084398132167,6,82
2018-19,Toronto Raptors,125.0,173.63351596423084,16,82
2018-19,Utah Jazz,28.0,37.76518991271614,11,82
2018-19,Washington Wizards,246.0,309.3312156971598,21,82
2019-20,Atlanta Hawks,189.0,236.3475790869136,14,67
2019-20,Boston Celtics,77.0,104.23173127280128,8,72
2019-20,Brooklyn Nets,110.0,143.94467911475337,18,72
2019-20,Charlotte Hornets,127.0,154.07628887849825,9,65
2019-20,Chicago Bulls,113.0,142.20995369591202,12,65
2019-20,Cleveland Cavaliers,145.0,183.7997379880657,14,65
2019-20,Dallas Mavericks,68.0,91.1918994121294,10,75
2019-20,Denver Nuggets,65.0,84.35444294362743,12,73
2019-20,Detroit Pistons,234.0,291.7142158790274,16,66
2019-20,Golden State Warriors,271.0,338.7383311947611,19,65
2019-20,Houston Rockets,147.0,191.92283671362293,15,72
2019-20,Indiana Pacers,122.0,154.09663794320613,8,73
2019-20,Los Angeles Clippers,148.0,195.52930965342887,12,72
2019-20,Los Angeles Lakers,122.0,155.044106014347,12,71
2019-20,Memphis Grizzlies,68.0,87.98308215280301,13,73
2019-20,Miami Heat,145.0,186.33402386540047,13,73
2019-20,Milwaukee Bucks,58.0,80.84922184760634,6,73
2019-20,Minnesota Timberwolves,313.0,395.940094356547,22,64
2019-20,New Orleans Pelicans,118.0,152.24574277947278,8,72
2019-20,New York Knicks,200.0,247.09552047131825,10,66
2019-20,Oklahoma City Thunder,82.0,102.23300521116306,9,72
2019-20,Orlando Magic,82.0,107.65462533018577,12,73
2019-20,Philadelphia 76ers,112.0,145.2656643106112,11,73
2019-20,Phoenix Suns,129.0,163.9086467318499,11,73
2019-20,Portland Trail Blazers,193.0,240.36665068553364,12,74
2019-20,Sacramento Kings,119.0,152.41233448204102,18,72
