Season,Team,Vegas_OU
2022-23,Charlotte Hornets,34.5
2022-23,Washington Wizards,35.5
2022-23,Detroit Pistons,29.5
2022-23,Oklahoma City Thunder,23.5
2022-23,Orlando Magic,26.5
2022-23,Indiana Pacers,24.5
2022-23,Sacramento Kings,34.5
2022-23,San Antonio Spurs,22.5
2022-23,Houston Rockets,23.5
2022-23,Utah Jazz,23.5
2023-24,Boston Celtics,54.5
2023-24,Denver Nuggets,52.5
2023-24,Phoenix Suns,51.5
2023-24,Milwaukee Bucks,54.5
2023-24,Golden State Warriors,48.5
2023-24,Los Angeles Lakers,47.5
2023-24,Miami Heat,45.5
2023-24,Philadelphia 76ers,48.5
2023-24,Los Angeles Clippers,46.5
2023-24,Memphis Grizzlies,45.5
2023-24,Dallas Mavericks,45.5
2023-24,Cleveland Cavaliers,50.5
2023-24,Sacramento Kings,44.5
2023-24,New Orleans Pelicans,44.5
2023-24,New York Knicks,45.5
2023-24,Minnesota Timberwolves,44.5
2023-24,Atlanta Hawks,42.5
2023-24,Toronto Raptors,36.5
2023-24,Oklahoma City Thunder,44.5
2023-24,Chicago Bulls,37.5
2023-24,Brooklyn Nets,37.5
2023-24,Portland Trail Blazers,28.5
2023-24,San Antonio Spurs,28.5
2023-24,Utah Jazz,35.5
2023-24,Orlando Magic,37.5
2023-24,Indiana Pacers,38.5
2023-24,Houston Rockets,31.5
2023-24,Washington Wizards,24.5
2023-24,Charlotte Hornets,31.5
2023-24,Detroit Pistons,28.5
2024-25,Boston Celtics,58.5
2024-25,Oklahoma City Thunder,57.5
2024-25,New York Knicks,53.5
2024-25,Philadelphia 76ers,50.5
2024-25,Dallas Mavericks,49.5
2024-25,Denver Nuggets,51.5
2024-25,Minnesota Timberwolves,51.5
2024-25,Milwaukee Bucks,49.5
2024-25,Phoenix Suns,48.5
2024-25,Cleveland Cavaliers,48.5
2024-25,Memphis Grizzlies,47.5
2024-25,Orlando Magic,47.5
2024-25,Golden State Warriors,43.5
2024-25,Los Angeles Lakers,43.5
2024-25,Miami Heat,44.5
2024-25,New Orleans Pelicans,46.5
2024-25,Indiana Pacers,46.5
2024-25,Sacramento Kings,46.5
2024-25,Houston Rockets,43.5
2024-25,Los Angeles Clippers,35.5
2024-25,San Antonio Spurs,35.5
2024-25,Atlanta Hawks,36.5
2024-25,Utah Jazz,28.5
2024-25,Detroit Pistons,25.5
2024-25,Charlotte Hornets,30.5
2024-25,Chicago Bulls,28.5
2024-25,Brooklyn Nets,19.5
2024-25,Portland Trail Blazers,21.5
2024-25,Toronto Raptors,29.5
2024-25,Washington Wizards,20.5
2025-26,Oklahoma City Thunder,62.5
2025-26,Denver Nuggets,53.5
2025-26,Cleveland Cavaliers,56.5
2025-26,New York Knicks,53.5
2025-26,Minnesota Timberwolves,49.5
2025-26,Houston Rockets,52.5
2025-26,Los Angeles Lakers,46.5
2025-26,Los Angeles Clippers,49.5
2025-26,Orlando Magic,51.5
2025-26,Golden State Warriors,47.5
2025-26,Detroit Pistons,46.5
2025-26,Dallas Mavericks,41.5
2025-26,Philadelphia 76ers,43.5
2025-26,Atlanta Hawks,46.5
2025-26,Milwaukee Bucks,43.5
2025-26,Boston Celtics,41.5
2025-26,San Antonio Spurs,44.5
2025-26,Indiana Pacers,37.5
2025-26,Toronto Raptors,39.5
2025-26,Memphis Grizzlies,39.5
2025-26,Miami Heat,37.5
2025-26,New Orleans Pelicans,30.5
2025-26,Phoenix Suns,30.5
2025-26,Portland Trail Blazers,35.5
2025-26,Sacramento Kings,35.5
2025-26,Chicago Bulls,33.5
2025-26,Charlotte Hornets,27.5
2025-26,Brooklyn Nets,19.5
2025-26,Utah Jazz,18.5
2025-26,Washington Wizards,20.5
