ENTRY,Season,Player,Age,Team(s),LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON
896,2016-17,Trevor Booker,29,BRK,1.89,-0.7,-1.76,1.06
897,2016-17,Hassan Whiteside,27,MIA,8.55,2.82,0.66,2.16
898,2016-17,Nemanja Bjelica,28,MIN,1.42,-0.52,-0.33,-0.2
899,2016-17,Timofey Mozgov,30,LAL,0.76,-1.28,-2.48,1.2
900,2016-17,Jeremy Lin,28,BRK,2.25,1.52,1.27,0.25
901,2016-17,Ish Smith,28,DET,3.1,0.07,-0.36,0.43
902,2016-17,Lance Thomas,28,NYK,-0.64,-3.36,-1.77,-1.59
903,2016-17,Kyrie Irving,24,CLE,9.05,3.11,4.71,-1.6
904,2016-17,Derrick Williams,25,MIA/CLE,0.06,-2.22,-1.34,-0.88
905,2016-17,Enes Freedom,24,OKC,1.4,-0.94,1.06,-2
906,2016-17,Tristan Thompson,25,CLE,5.19,1.02,-0.33,1.36
907,2016-17,Jonas Valančiūnas,24,TOR,4.75,1.14,-0.22,1.36
908,2016-17,Bismack Biyombo,24,ORL,2.01,-0.63,-1.98,1.35
909,2016-17,Brandon Knight,25,PHO,-0.46,-2.96,-1.22,-1.74
910,2016-17,Kemba Walker,26,CHO,8.95,2.61,3.34,-0.72
911,2016-17,Klay Thompson,26,GSW,6.57,1.41,2.33,-0.92
912,2016-17,Alec Burks,25,UTA,0.44,-1.31,-0.48,-0.83
913,2016-17,Markieff Morris,27,WAS,3.63,-0.02,-1.33,1.31
914,2016-17,Marcus Morris Sr.,27,DET,3.48,-0.28,-0.63,0.35
915,2016-17,Kawhi Leonard,25,SAS,13,5.83,4.7,1.12
916,2016-17,Nikola Vučević,26,ORL,3.1,-0.16,-0.86,0.69
917,2016-17,Iman Shumpert,26,CLE,0.55,-1.9,-1.18,-0.72
918,2016-17,Tobias Harris,24,DET,2.53,-0.84,-0.95,0.11
919,2016-17,Kenneth Faried,27,DEN,3.22,1.41,1.17,0.25
920,2016-17,Nikola Mirotic,25,CHI,3.05,0.41,0.08,0.34
921,2016-17,Reggie Jackson,26,DET,1.68,-0.54,0.2,-0.75
922,2016-17,Cory Joseph,25,TOR,2.51,-0.43,0.31,-0.74
923,2016-17,Jimmy Butler,27,CHI,11.61,3.97,3,0.97
924,2016-17,Bojan Bogdanović,27,BRK/WAS,1.01,-1.59,-0.66,-0.93
925,2016-17,Shelvin Mack,26,UTA,0.24,-2.03,-1.25,-0.78
926,2016-17,Chandler Parsons,28,MEM,0.55,-1.09,-1.16,0.07
927,2016-17,Jon Leuer,27,DET,2.9,-0.08,-0.72,0.64
928,2016-17,Davis Bertans,24,SAS,1.01,-0.43,-0.66,0.23
929,2016-17,Lavoy Allen,27,IND,0.32,-1.77,-1.35,-0.42
930,2016-17,DeAndre Liggins,28,CLE/DAL,0.38,-1.59,-2.79,1.19
931,2016-17,E'Twaun Moore,27,NOP,0.06,-2.28,-0.96,-1.33
932,2016-17,Isaiah Thomas,27,BOS,8.77,2.84,5.02,-2.18
933,2016-17,Anthony Davis,23,NOP,10.13,3.35,2.35,1
934,2016-17,Michael Kidd-Gilchrist,23,CHO,5.66,1.3,-1.16,2.46
935,2016-17,Bradley Beal,23,WAS,7.63,1.96,2.82,-0.85
936,2016-17,Dion Waiters,25,MIA,1.94,-0.21,-0.09,-0.13
937,2016-17,Thomas Robinson,25,LAL,0.86,-0.01,-0.7,0.68
938,2016-17,Damian Lillard,26,POR,11.08,3.94,5.05,-1.11
939,2016-17,Terrence Ross,25,TOR/ORL,3.93,0.7,1.3,-0.6
940,2016-17,Andre Drummond,23,DET,6.79,1.92,-0.54,2.46
941,2016-17,Harrison Barnes,24,DAL,3.57,-0.4,-1.04,0.64
942,2016-17,Austin Rivers,24,LAC,0.86,-1.69,-0.32,-1.38
943,2016-17,Meyers Leonard,24,POR,0.61,-1.58,-1.94,0.36
944,2016-17,Jeremy Lamb,24,CHO,2.11,0.46,0.74,-0.28
945,2016-17,John Henson,26,MIL,1.99,0.35,-1.09,1.44
946,2016-17,Maurice Harkless,23,POR,2.63,-0.54,-0.51,-0.03
947,2016-17,Tyler Zeller,27,BOS,0.28,-1.52,-1.58,0.06
948,2016-17,Evan Fournier,24,ORL,2.16,-0.86,0.42,-1.28
949,2016-17,Tomas Satoransky,25,WAS,0.12,-2.09,-1.73,-0.35
950,2016-17,Jae Crowder,26,BOS,5.3,1.09,0.62,0.47
951,2016-17,Draymond Green,26,GSW,11.42,4.76,1.26,3.5
952,2016-17,Quincy Acy,26,DAL/BRK,1.03,0.45,0.06,0.39
953,2016-17,Khris Middleton,25,MIL,1.74,0.63,0.24,0.39
954,2016-17,Will Barton,26,DEN,3.03,0.35,0.66,-0.31
955,2016-17,Justin Hamilton,26,BRK,0.51,-1.67,-1.6,-0.07
956,2016-17,Kyle O'Quinn,26,NYK,2.05,0.18,-0.46,0.65
957,2016-17,Hollis Thompson,25,PHI/NOP,0.03,-2.26,-1.61,-0.66
958,2016-17,Mirza Teletovic,31,MIL,0.84,-1.2,-0.44,-0.75
959,2016-17,Kent Bazemore,27,ATL,2.46,-0.44,-0.47,0.04
960,2016-17,Willie Reed,26,MIA,1.54,-0.08,-0.96,0.88
961,2016-17,Justin Holiday,27,NYK,1.66,-0.79,-0.36,-0.43
962,2016-17,JaMychal Green,26,MEM,2.6,-0.46,-1.62,1.16
963,2016-17,Aron Baynes,30,DET,1.01,-1.01,-2.33,1.33
964,2016-17,Nerlens Noel,22,PHI/DAL,3.31,2.46,-0.29,2.74
965,2016-17,Alex Len,23,PHO,1.26,-1.1,-2.28,1.18
966,2016-17,Allen Crabbe,24,POR,0.92,-1.71,-1.08,-0.62
967,2016-17,Andre Roberson,25,OKC,3.58,-0.05,-1.43,1.37
968,2016-17,Ben McLemore,23,SAC,-0.25,-2.65,-2.26,-0.4
969,2016-17,CJ McCollum,25,POR,6.69,1.28,1.77,-0.49
970,2016-17,Cody Zeller,24,CHO,5.07,2.11,-0.21,2.32
971,2016-17,Dennis Schröder,23,ATL,3.25,-0.35,0.7,-1.05
972,2016-17,Dewayne Dedmon,27,SAS,2.89,0.95,-1.29,2.24
973,2016-17,Gorgui Dieng,27,MIN,3.87,-0.12,-1.46,1.34
974,2016-17,Isaiah Canaan,25,CHI,0.3,-1.57,-0.73,-0.84
975,2016-17,Kelly Olynyk,25,BOS,1.39,-0.96,-1.06,0.11
976,2016-17,Kentavious Caldwell-Pope,23,DET,3.44,-0.27,-0.18,-0.1
977,2016-17,Mason Plumlee,26,POR/DEN,5.48,1.52,-0.2,1.71
978,2016-17,Michael Carter-Williams,25,CHI,1.19,-0.21,-1.46,1.25
979,2016-17,Mike Muscala,25,ATL,1.9,-0.01,-0.46,0.45
980,2016-17,Otto Porter Jr.,23,WAS,7.61,2.08,0.91,1.17
981,2016-17,Robert Covington,26,PHI,5.49,1.58,-0.64,2.22
982,2016-17,Rudy Gobert,24,UTA,12.42,4.61,0.73,3.88
983,2016-17,Shabazz Muhammad,24,MIN,1.1,-1.23,0.79,-2.02
984,2016-17,Steven Adams,23,OKC,4.25,0.36,-0.14,0.5
985,2016-17,Tim Hardaway Jr.,24,ATL,2.97,-0.24,0.54,-0.78
986,2016-17,Tony Snell,25,MIL,0.98,-1.69,-1.18,-0.51
987,2016-17,Trey Burke,24,WAS,-0.74,-3.98,-2.01,-1.98
988,2016-17,Victor Oladipo,24,OKC,2.9,-0.35,-0.66,0.31
989,2016-17,Giannis Antetokounmpo,22,MIL,13.91,5.21,3.35,1.86
990,2016-17,Lucas Nogueira,24,TOR,2.03,0.49,-1.54,2.03
991,2016-17,James Ennis III,26,MEM,0.92,-1.4,-1.09,-0.31
992,2016-17,Alex Abrines,23,OKC,0.8,-1.18,-0.09,-1.09
993,2016-17,Matthew Dellavedova,26,MIL,2.12,-0.71,-0.47,-0.24
994,2016-17,Solomon Hill,25,NOP,1.22,-1.55,-1.91,0.36
995,2016-17,Joffrey Lauvergne,25,OKC/CHI,0.18,-2.05,-0.71,-1.34
996,2016-17,Ian Clark,25,GSW,-0.08,-2.44,-0.25,-2.2
997,2016-17,Seth Curry,26,DAL,3.74,0.45,0.21,0.24
998,2016-17,Troy Daniels,25,MEM,0.4,-1.81,0.15,-1.96
999,2016-17,Rodney McGruder,25,MIA,1.55,-1.13,-1.14,0
1000,2016-17,Jonathon Simmons,27,SAS,1.81,-0.37,-1.48,1.11
1001,2016-17,Jamal Crawford,36,LAC,-1.75,-3.59,-1.02,-2.57
1002,2016-17,Shabazz Napier,25,POR,0.78,-0.03,-0.22,0.19
1003,2016-17,Zach LaVine,21,MIN,2.26,-0.37,0.24,-0.62
1004,2016-17,Tyler Ennis,22,HOU/LAL,0.46,-1.15,-1.04,-0.11
1005,2016-17,Elfrid Payton,22,ORL,3.1,-0.38,0.42,-0.8
1006,2016-17,Semaj Christon,24,OKC,0.13,-2.13,-1.53,-0.6
1007,2016-17,Jordan Clarkson,24,LAL,-0.73,-2.8,-0.91,-1.89
1008,2016-17,KJ McDaniels,23,HOU/BRK,0.3,-1.42,-1.11,-0.32
1009,2016-17,Gary Harris,22,DEN,4.41,1.4,1.9,-0.5
1010,2016-17,Spencer Dinwiddie,23,BRK,2.75,0.78,0.23,0.54
1011,2016-17,Nik Stauskas,23,PHI,-1.4,-3.32,-1.22,-2.1
1012,2016-17,Rodney Hood,24,UTA,1.73,-0.68,-0.79,0.1
1013,2016-17,Glenn Robinson III,23,IND,0.16,-2.16,-1.42,-0.74
1014,2016-17,Jerami Grant,22,PHI/OKC,1.01,-1.33,-1.38,0.05
1015,2016-17,Joe Harris,25,BRK,-0.37,-2.83,-1.58,-1.25
1016,2016-17,Doug McDermott,25,CHI/OKC,-0.86,-3.22,-0.8,-2.42
1017,2016-17,Sean Kilpatrick,27,BRK,0.21,-2.15,-0.56,-1.59
1018,2016-17,Aaron Gordon,21,ORL,3.25,-0.19,0.39,-0.58
1019,2016-17,T.J. Warren,23,PHO,2.41,-0.55,0.78,-1.33
1020,2016-17,Marcus Smart,22,BOS,5.27,0.98,-0.27,1.25
1021,2016-17,Kyle Anderson,23,SAS,2.12,0.81,-1.37,2.18
1022,2016-17,Dwight Powell,25,DAL,2.68,0.7,-0.58,1.28
1023,2016-17,Noah Vonleh,21,POR,0.97,-1.17,-2.33,1.16
1024,2016-17,Julius Randle,22,LAL,1.26,-1.43,-1,-0.43
1025,2016-17,Andrew Wiggins,21,MIN,3.98,-0.35,1.13,-1.49
1026,2016-17,Jabari Parker,21,MIL,1.74,-0.81,0.59,-1.39
1027,2016-17,Joel Embiid,22,PHI,2.89,3.25,0.89,2.36
1028,2016-17,Danté Exum,21,UTA,0.29,-1.97,-1.34,-0.62
1029,2016-17,Dario Šarić,22,PHI,-0.3,-2.55,-1.37,-1.17
1030,2016-17,Clint Capela,22,HOU,3.38,0.95,-0.03,0.99
1031,2016-17,Jusuf Nurkić,22,DEN/POR,2.37,0.24,-1.16,1.4
1032,2016-17,Nikola Jokić,21,DEN,8.59,4.11,3.02,1.09
1033,2016-17,Kristaps Porziņģis,21,NYK,3.04,-0.2,-0.4,0.19
1034,2016-17,Tyler Johnson,24,MIA,4.09,0.51,0.29,0.21
1035,2016-17,Tim Frazier,26,NOP,1.21,-1.13,-0.55,-0.57
1036,2016-17,Tarik Black,25,LAL,1.83,0.21,-1.22,1.42
1037,2016-17,Langston Galloway,25,NOP/SAC,-0.09,-2.43,-0.72,-1.7
1038,2016-17,Joe Ingles,29,UTA,3.93,0.68,-0.03,0.71
1039,2016-17,T.J. McConnell,24,PHI,2.08,-0.85,-1.27,0.42
1040,2016-17,Tyson Chandler,34,PHO,3.1,1.27,-0.67,1.95
1041,2016-17,Pau Gasol,36,SAS,3.98,1.36,0,1.36
1042,2016-17,Joe Johnson,35,UTA,1.9,-0.77,-0.64,-0.13
1043,2016-17,Richard Jefferson,36,CLE,0.22,-2.13,-1.07,-1.05
1044,2016-17,Zach Randolph,35,MEM,1.43,-1.11,0.28,-1.39
1045,2016-17,Tony Parker,34,SAS,1.29,-1.09,-0.47,-0.62
1046,2016-17,Mike Dunleavy,36,CLE/ATL,-0.17,-2.65,-1.98,-0.66
1047,2016-17,Nene,34,HOU,2.78,1.17,0.13,1.04
1048,2016-17,Matt Barnes,36,SAC/GSW,1.54,-1.02,-0.61,-0.41
1049,2016-17,LeBron James,32,CLE,14.86,5.93,5.74,0.19
1050,2016-17,Carmelo Anthony,32,NYK,3.32,-0.35,1.58,-1.93
1051,2016-17,Dwyane Wade,35,CHI,2.59,-0.14,0.32,-0.46
1052,2016-17,David West,36,GSW,1.45,0.23,-0.57,0.79
1053,2016-17,Boris Diaw,34,UTA,1.11,-1.02,-1.05,0.04
1054,2016-17,Leandro Barbosa,34,PHO,0.09,-2.18,-1.63,-0.55
1055,2016-17,Zaza Pachulia,32,GSW,2.97,1.2,-0.75,1.95
1056,2016-17,Kyle Korver,35,ATL/CLE,1.21,-1.28,-0.28,-1
1057,2016-17,Dwight Howard,31,ATL,5.43,1.4,-0.75,2.15
1058,2016-17,Shaun Livingston,31,GSW,-0.18,-2.53,-1.6,-0.94
1059,2016-17,Devin Harris,33,DAL,2.19,0.71,0.36,0.35
1060,2016-17,Luol Deng,31,LAL,1.45,-0.85,-1.52,0.67
1061,2016-17,Andre Iguodala,33,GSW,4.34,0.95,1.29,-0.35
1062,2016-17,Kris Humphries,31,ATL,0.89,-0.37,-1.09,0.72
1063,2016-17,Al Jefferson,32,IND,1.16,-0.44,-0.22,-0.22
1064,2016-17,JR Smith,31,CLE,0.66,-1.49,-0.74,-0.75
1065,2016-17,Jameer Nelson,34,DEN,2.63,-0.39,0.06,-0.44
1066,2016-17,Tony Allen,35,MEM,3.74,0.62,-0.57,1.19
1067,2016-17,Beno Udrih,34,DET,0.8,-0.18,-0.08,-0.1
1068,2016-17,Trevor Ariza,31,HOU,7.28,1.63,0.89,0.75
1069,2017-18,Marvin Williams,31,CHO,2.77,-0.24,-0.23,-0.02
1070,2017-18,Chris Paul,32,HOU,8.03,4.32,4.02,0.3
1071,2017-18,Raymond Felton,33,OKC,0.57,-1.69,-0.48,-1.21
1072,2017-18,Channing Frye,34,CLE/LAL,0.95,-0.26,-0.32,0.06
1073,2017-18,Gerald Green,32,HOU,1.16,-0.43,1.07,-1.51
1074,2017-18,Jarrett Jack,34,NYK,1.6,-0.76,-0.23,-0.53
1075,2017-18,Ian Mahinmi,31,WAS,0.75,-1.34,-2.22,0.88
1076,2017-18,CJ Miles,30,TOR,2.57,0.57,1.69,-1.12
1077,2017-18,Ersan Ilyasova,30,ATL/PHI,3.56,0.78,0.25,0.53
1078,2017-18,Lou Williams,31,LAC,3.63,-0.21,3.34,-3.55
1079,2017-18,Amir Johnson,30,PHI,1.7,-0.13,-1.57,1.44
1080,2017-18,Marcin Gortat,33,WAS,4.04,0.61,-0.9,1.51
1081,2017-18,Jose Calderon,36,CLE,0.31,-1.81,-1.36,-0.45
1082,2017-18,Emmanuel Mudiay,21,DEN/NYK,-0.69,-3.19,-1.4,-1.78
1083,2017-18,Tyus Jones,21,MIN,3.11,0.87,0.59,0.28
1084,2017-18,Justin Anderson,24,PHI,0.26,-1.55,-0.11,-1.45
1085,2017-18,Montrezl Harrell,24,LAC,3.42,1.66,2.19,-0.54
1086,2017-18,Andrew Harrison,23,MEM,1.59,-0.52,-0.27,-0.24
1087,2017-18,Delon Wright,25,TOR,2.74,0.56,0.47,0.09
1088,2017-18,Sam Dekker,23,LAC,1.1,-0.44,-0.19,-0.25
1089,2017-18,D'Angelo Russell,21,BRK,0.69,-1.48,0.55,-2.04
1090,2017-18,Karl-Anthony Towns,22,MIN,12.22,4.06,3.32,0.74
1091,2017-18,Richaun Holmes,24,PHI,1.04,-0.23,-0.23,0.01
1092,2017-18,Justise Winslow,21,MIA,2.94,0.31,-1.08,1.38
1093,2017-18,Willie Cauley-Stein,24,SAC,3.66,0.38,-1,1.38
1094,2017-18,Kelly Oubre Jr.,22,WAS,1.67,-1.2,-0.28,-0.92
1095,2017-18,Frank Kaminsky,24,CHO,2.45,-0.31,-0.02,-0.29
1096,2017-18,Devin Booker,21,PHO,1.89,-0.79,1.18,-1.98
1097,2017-18,Cameron Payne,23,CHI,1.02,0.31,0.06,0.25
1098,2017-18,Myles Turner,21,IND,4.27,1.18,-0.51,1.69
1099,2017-18,Trey Lyles,22,DEN,3,0.93,1.16,-0.23
1100,2017-18,Stanley Johnson,21,DET,1.55,-1.09,-2.02,0.94
1101,2017-18,Jerian Grant,25,CHI,2.02,-0.52,0.11,-0.62
1102,2017-18,Bobby Portis,22,CHI,2.49,-0.04,0.94,-0.98
1103,2017-18,Kevon Looney,21,GSW,1.4,0,-0.94,0.94
1104,2017-18,Rondae Hollis-Jefferson,23,BRK,2.35,-0.48,-0.94,0.46
1105,2017-18,Terry Rozier,23,BOS,2.84,-0.25,0.21,-0.46
1106,2017-18,Norman Powell,24,TOR,-0.32,-2.8,-2.04,-0.77
1107,2017-18,Jarell Martin,23,MEM,0.31,-2.05,-1.86,-0.19
1108,2017-18,Quinn Cook,24,GSW,-0.18,-2.7,-1.07,-1.64
1109,2017-18,Pat Connaughton,25,POR,0.84,-1.47,-0.65,-0.83
1110,2017-18,Josh Richardson,24,MIA,4.52,0.21,-0.87,1.08
1111,2017-18,Joe Young,25,IND,-0.33,-3.25,-1.53,-1.72
1112,2017-18,Treveon Graham,24,CHO,0.26,-1.95,-2.14,0.19
1113,2017-18,Larry Nance Jr.,25,LAL/CLE,4.72,2.7,0.69,2
1114,2017-18,Mario Hezonja,22,ORL,0.86,-1.54,-1.01,-0.53
1115,2017-18,Royce O'Neale,24,UTA,1.84,0.08,-0.81,0.9
1116,2017-18,Cedi Osman,22,CLE,0.89,-0.34,-0.54,0.2
1117,2017-18,Cristiano Felicio,25,CHI,-0.2,-2.65,-2.06,-0.59
1118,2017-18,Salah Mejri,31,DAL,1.99,1.79,-0.95,2.74
1119,2017-18,Malcolm Delaney,28,ATL,0.72,-1.25,-0.95,-0.3
1120,2017-18,Ben Simmons,21,PHI,8.18,2.2,0.84,1.35
1121,2017-18,Dragan Bender,20,PHO,-1.22,-3.25,-2.94,-0.31
1122,2017-18,Domantas Sabonis,21,IND,2.3,-0.41,-0.73,0.32
1123,2017-18,Malik Beasley,21,DEN,0.06,-2.18,-1.43,-0.75
1124,2017-18,Marquese Chriss,20,PHO,1.68,-0.66,-1.89,1.23
1125,2017-18,Deyonta Davis,21,MEM,-0.07,-2.45,-1.63,-0.82
1126,2017-18,Kris Dunn,23,CHI,1.3,-1.03,-1.66,0.63
1127,2017-18,Buddy Hield,25,SAC,1.43,-1.26,-0.69,-0.57
1128,2017-18,Brandon Ingram,20,LAL,2.52,-0.4,-0.29,-0.11
1129,2017-18,Skal Labissiere,21,SAC,0.44,-1.79,-2.01,0.22
1130,2017-18,Caris LeVert,23,BRK,1.32,-1.25,-0.46,-0.79
1131,2017-18,Thon Maker,20,MIL,0.94,-1.18,-1.52,0.34
1132,2017-18,Dejounte Murray,21,SAS,4.09,1.21,-0.79,2
1133,2017-18,Jamal Murray,20,DEN,5.85,1.11,1.51,-0.4
1134,2017-18,Jakob Poeltl,22,TOR,3.29,0.93,-0.61,1.54
1135,2017-18,Taurean Prince,23,ATL,1.41,-1.46,-1.28,-0.18
1136,2017-18,Tyler Ulis,22,PHO,0.74,-1.65,-0.97,-0.68
1137,2017-18,Denzel Valentine,24,CHI,1.34,-1.36,-1.33,-0.03
1138,2017-18,Jaylen Brown,21,BOS,4.69,0.96,-0.03,0.99
1139,2017-18,Malcolm Brogdon,25,MIL,1.77,-0.46,-0.1,-0.37
1140,2017-18,Cheick Diallo,21,NOP,0.55,-0.88,-1.56,0.68
1141,2017-18,Patrick McCaw,22,GSW,-0.05,-2.41,-1.24,-1.17
1142,2017-18,Wayne Selden,23,MEM,-0.42,-3.28,-1.3,-1.98
1143,2017-18,Pascal Siakam,23,TOR,4.04,1.3,0.01,1.29
1144,2017-18,Timothe Luwawu-Cabarrot,22,PHI,-0.19,-2.7,-1.05,-1.65
1145,2017-18,Yogi Ferrell,24,DAL,2.88,-0.42,-0.42,0
1146,2017-18,Isaiah Taylor,23,ATL,0.05,-2.27,-1.19,-1.07
1147,2017-18,Tyrone Wallace,23,LAC,0.15,-2.05,-0.9,-1.16
1148,2017-18,Fred VanVleet,23,TOR,4,1.64,1.7,-0.06
1149,2017-18,Paul Zipser,23,CHI,-0.28,-2.86,-3.08,0.22
1150,2017-18,Abdel Nader,24,BOS,-0.17,-2.84,-2.43,-0.41
1151,2017-18,Bryn Forbes,24,SAS,0.53,-1.8,-0.98,-0.81
1152,2017-18,Alex Caruso,23,LAL,0.37,-1.34,-1.83,0.48
1153,2017-18,David Nwaba,25,CHI,0.45,-1.91,-1.55,-0.35
1154,2017-18,Lonzo Ball,20,LAL,4.14,1.18,-0.22,1.41
1155,2017-18,Josh Jackson,20,PHO,-0.43,-2.67,-1.22,-1.45
1156,2017-18,De'Aaron Fox,20,SAC,-0.75,-2.9,-1.55,-1.36
1157,2017-18,Jayson Tatum,19,BOS,5.09,0.82,-0.75,1.57
1158,2017-18,Malik Monk,19,CHO,-0.29,-2.85,-0.9,-1.94
1159,2017-18,Jonathan Isaac,20,ORL,0.34,-1.35,-3.16,1.81
1160,2017-18,Dennis Smith Jr.,20,DAL,1.59,-1.15,-0.67,-0.49
1161,2017-18,Frank Ntilikina,19,NYK,-0.02,-2.34,-1.87,-0.47
1162,2017-18,Lauri Markkanen,20,CHI,2.8,-0.23,0.01,-0.24
1163,2017-18,Donovan Mitchell,21,UTA,6.58,1.43,1.05,0.39
1164,2017-18,Luke Kennard,21,DET,0.52,-1.78,-1.16,-0.63
1165,2017-18,Zach Collins,20,POR,0.25,-1.97,-2.16,0.19
1166,2017-18,John Collins,20,ATL,2.52,-0.19,-1.22,1.03
1167,2017-18,Justin Jackson,22,SAC,-0.13,-2.46,-1.89,-0.57
1168,2017-18,OG Anunoby,20,TOR,1.15,-1.15,-1.2,0.05
1169,2017-18,Jarrett Allen,19,BRK,0.88,-1.4,-1.41,0.01
1170,2017-18,Bam Adebayo,20,MIA,1.86,-0.28,-1.19,0.91
1171,2017-18,Terrance Ferguson,19,OKC,-0.34,-3.01,-1.84,-1.18
1172,2017-18,Jawun Evans,21,LAC,0.36,-1.63,-1.63,0
1173,2017-18,Jordan Bell,23,GSW,1.79,1.01,-0.2,1.21
1174,2017-18,Ivan Rabb,20,MEM,0.26,-1.56,-1.36,-0.2
1175,2017-18,Kyle Kuzma,22,LAL,1.9,-1.13,0.1,-1.23
1176,2017-18,Semi Ojeleye,23,BOS,-0.79,-3.4,-3,-0.4
1177,2017-18,Josh Hart,22,LAL,1.49,-0.78,-0.32,-0.47
1178,2017-18,Dwayne Bacon,22,CHO,-0.03,-2.39,-2.55,0.16
1179,2017-18,Wes Iwundu,23,ORL,0.89,-1.01,-1.52,0.51
1180,2017-18,Frank Mason III,23,SAC,0.88,-0.98,-0.89,-0.08
1181,2017-18,Sindarius Thornwell,23,LAC,0.83,-1.24,-1.77,0.54
1182,2017-18,Dillon Brooks,22,MEM,-1.09,-3.04,-1.97,-1.08
1183,2017-18,Tyler Dorsey,21,ATL,0.09,-2.19,-1,-1.18
1184,2017-18,Kobi Simmons,20,MEM,-0.76,-4.18,-2.14,-2.04
1185,2017-18,Sterling Brown,22,MIL,0.07,-2.2,-1.48,-0.71
1186,2017-18,Mike James,27,PHO/NOP,1.28,0.49,0.73,-0.24
1187,2017-18,Milos Teodosic,30,LAC,0.84,-1.2,0.22,-1.42
1188,2017-18,Tyler Cavanaugh,23,ATL,0.65,-0.44,-0.15,-0.29
1189,2017-18,Daniel Theis,25,BOS,1.62,0.29,-1.03,1.31
1190,2017-18,Maxi Kleber,26,DAL,1.63,-0.29,-1.27,0.98
1191,2017-18,Torrey Craig,27,DEN,0.39,-1.38,-1.04,-0.33
1192,2017-18,Vince Carter,41,SAC,1,-0.85,-1.28,0.43
1193,2017-18,Dirk Nowitzki,39,DAL,3.66,0.58,-0.79,1.37
1194,2017-18,Jason Terry,40,MIL,0.5,-1.4,-1.72,0.32
1195,2017-18,Manu Ginobili,40,SAS,1.29,-0.83,0.09,-0.92
1196,2017-18,LaMarcus Aldridge,32,SAS,9.39,3.35,2.8,0.55
1197,2017-18,Rudy Gay,31,SAS,2.29,0.47,0.3,0.17
1198,2017-18,JJ Redick,33,PHI,4.67,1,1.77,-0.77
1199,2017-18,Thabo Sefolosha,33,UTA,1.52,0.51,-0.77,1.28
1200,2017-18,Rajon Rondo,31,NOP,1.8,-0.73,0.1,-0.83
1201,2017-18,Kyle Lowry,31,TOR,10.46,4.03,3.43,0.6
1202,2017-18,P.J. Tucker,32,HOU,3.7,0.12,-0.7,0.82
1203,2017-18,Paul Millsap,32,DEN,2.21,0.58,-0.11,0.69
1204,2017-18,J.J. Barea,33,DAL,3.01,0.5,1.63,-1.13
1205,2017-18,Kevin Durant,29,GSW,9.52,3.91,4.25,-0.34
1206,2017-18,Al Horford,31,BOS,4.64,0.74,-0.13,0.87
1207,2017-18,Jeff Green,31,CLE,2.88,0.05,0.8,-0.75
1208,2017-18,Corey Brewer,31,LAL/OKC,0.95,-1.14,-1.21,0.07
1209,2017-18,Thaddeus Young,29,IND,5.71,0.97,-0.31,1.28
1210,2017-18,Nick Young,32,GSW,0.52,-1.76,0.11,-1.88
1211,2017-18,Marco Belinelli,31,ATL/PHI,1.54,-1.13,0.38,-1.51
1212,2017-18,Jared Dudley,32,PHO,1.16,0.22,-1.12,1.34
1213,2017-18,Wilson Chandler,30,DEN,1.39,-1.43,-1.35,-0.08
1214,2017-18,Arron Afflalo,32,ORL,-0.73,-4.01,-2.6,-1.41
1215,2017-18,Marc Gasol,33,MEM,5.93,1.38,0.24,1.14
1216,2017-18,Anthony Tolliver,32,DET,3.84,0.96,0.38,0.58
1217,2017-18,Michael Beasley,29,NYK,1.59,-0.87,0.6,-1.47
1218,2017-18,Russell Westbrook,29,OKC,14.27,5.22,4.38,0.84
1219,2017-18,Kevin Love,29,CLE,5.33,2.56,2.53,0.03
1220,2017-18,Danilo Gallinari,29,LAC,1.47,0.98,1.12,-0.15
1221,2017-18,Eric Gordon,29,HOU,4.18,0.6,2.17,-1.57
1222,2017-18,D.J. Augustin,30,ORL,2.22,-0.42,0.58,-1
1223,2017-18,Brook Lopez,29,LAL,2.91,0.2,-0.13,0.33
1224,2017-18,Jerryd Bayless,29,PHI,-0.41,-3.01,-2.16,-0.86
1225,2017-18,Robin Lopez,29,CHI,0.55,-1.84,-2.13,0.3
1226,2017-18,Marreese Speights,30,ORL,0.77,-0.6,0.67,-1.27
1227,2017-18,JaVale McGee,30,GSW,1.57,1.51,-0.16,1.67
1228,2017-18,Ryan Anderson,29,HOU,1.73,-0.81,0,-0.81
1229,2017-18,Courtney Lee,32,NYK,-0.27,-2.51,-1.15,-1.36
1230,2017-18,Kosta Koufos,28,SAC,2.13,-0.01,-0.81,0.8
1231,2017-18,Serge Ibaka,28,TOR,3.79,0.4,-0.14,0.54
1232,2017-18,Nicolas Batum,29,CHO,2.95,-0.08,0.04,-0.13
1233,2017-18,George Hill,31,SAC/CLE,2.69,-0.09,-0.03,-0.06
1234,2017-18,Mario Chalmers,31,MEM,2.01,-0.19,-0.69,0.5
1235,2017-18,DeAndre Jordan,29,LAC,5.22,0.92,0.4,0.52
1236,2017-18,Luc Mbah a Moute,31,HOU,0.98,-1.37,-1.81,0.43
1237,2017-18,Goran Dragic,31,MIA,3.85,0.12,0.73,-0.61
1238,2017-18,Blake Griffin,28,LAC/DET,3.98,0.72,1.62,-0.89
1239,2017-18,James Harden,28,HOU,14.25,6.41,6.4,0.01
