ENTRY,Season,Player,Age,Team(s),LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON
81,2014-15,Jason Thompson,28,SAC,1.21,-1.36,-2.1,0.74
82,2014-15,Robin Lopez,26,POR,2.14,-0.34,-0.8,0.46
83,2014-15,Marreese Speights,27,GSW,0.9,-1.17,-0.39,-0.78
84,2014-15,Roy Hibbert,28,IND,1.83,-0.86,-2.52,1.66
85,2014-15,JJ Hickson,26,DEN,0.05,-2.2,-1.78,-0.43
86,2014-15,Alexis Ajinca,26,NOP,1.03,-0.67,-0.68,0.01
87,2014-15,Ryan Anderson,26,NOP,2.18,-0.35,2.24,-2.59
88,2014-15,Courtney Lee,29,MEM,2.82,-0.5,-0.33,-0.16
89,2014-15,Kosta Koufos,25,MEM,2.96,0.95,-1.35,2.3
90,2014-15,Serge Ibaka,25,OKC,3.06,-0.14,-0.44,0.3
91,2014-15,Nicolas Batum,26,POR,6.2,1.55,0.33,1.23
92,2014-15,George Hill,28,IND,4.7,3.2,2.95,0.25
93,2014-15,Darrell Arthur,26,DEN,1.06,-0.69,-1.38,0.69
94,2014-15,Nikola Pekovic,29,MIN,1.29,0.05,0.1,-0.04
95,2014-15,Joey Dorsey,31,HOU,1.3,-0.03,-1.31,1.27
96,2014-15,Mario Chalmers,28,MIA,2.43,-0.75,-0.93,0.18
97,2014-15,DeAndre Jordan,26,LAC,12.76,4.46,1.89,2.57
98,2014-15,Omer Asik,28,NOP,3.89,0.62,-0.71,1.32
99,2014-15,Luc Mbah a Moute,28,PHI,0.24,-2.07,-2.15,0.08
100,2014-15,Goran Dragic,28,PHO/MIA,5.54,0.81,1.54,-0.73
101,2014-15,Henry Walker,27,MIA,0.43,-1.25,-0.99,-0.27
102,2014-15,Anthony Morrow,29,OKC,2.13,-0.53,1.38,-1.91
103,2014-15,Blake Griffin,25,LAC,6.03,1.49,2.24,-0.76
104,2014-15,James Harden,25,HOU,14.93,5.24,5.62,-0.38
105,2014-15,Tyreke Evans,25,NOP,7.04,1.57,2.31,-0.74
106,2014-15,Ricky Rubio,24,MIN,2.19,2.37,1.41,0.96
107,2014-15,Stephen Curry,26,GSW,14.98,6.46,5.85,0.61
108,2014-15,Jordan Hill,27,LAL,0.58,-1.8,-1.29,-0.51
109,2014-15,DeMar DeRozan,25,TOR,2.01,-0.85,0.56,-1.41
110,2014-15,Brandon Jennings,25,DET,3.31,1.87,2.46,-0.6
