Season,Team,Returning_Minutes_Pct,Star_Weighted_Continuity,New_Players_Count,Total_Prev_Minutes
2018-19,Milwaukee Bucks,97.37,97.65,10,9464.0
2018-19,Minnesota Timberwolves,77.8,77.5,10,15940.0
2018-19,New Orleans Pelicans,62.53,64.47,9,10270.0
2018-19,New York Knicks,3.33,3.17,12,9804.0
2018-19,Oklahoma City Thunder,72.73,74.43,11,13666.0
2018-19,Orlando Magic,78.85,79.52,10,9850.0
2018-19,Philadelphia 76ers,59.42,59.85,8,13772.0
2018-19,Phoenix Suns,41.94,42.1,12,9553.0
2018-19,Portland Trail Blazers,78.95,80.17,7,14277.0
2018-19,Sacramento Kings,72.03,72.49,8,10599.0
2018-19,San Antonio Spurs,43.7,44.27,12,13381.0
2018-19,Toronto Raptors,51.34,51.49,10,15197.0
2018-19,Utah Jazz,100.0,100.0,8,13056.0
2018-19,Washington Wizards,41.7,42.1,10,14462.0
2019-20,Atlanta Hawks,53.58,53.39,12,8085.0
2019-20,Boston Celtics,60.97,59.86,12,15317.0
2019-20,Brooklyn Nets,52.82,52.45,17,13946.0
2019-20,Charlotte Hornets,36.57,35.09,11,14473.0
2019-20,Chicago Bulls,93.79,93.94,12,8178.0
2019-20,Cleveland Cavaliers,70.26,70.93,11,6651.0
2019-20,Dallas Mavericks,85.51,86.16,10,10142.0
2019-20,Denver Nuggets,76.32,77.99,8,13820.0
2019-20,Detroit Pistons,38.92,39.41,12,11221.0
2019-20,Golden State Warriors,39.71,39.94,11,14798.0
2019-20,Houston Rockets,81.07,81.54,11,12701.0
2019-20,Indiana Pacers,34.62,35.24,14,14743.0
2019-20,Los Angeles Clippers,56.09,56.64,11,11489.0
2019-20,Los Angeles Lakers,84.26,84.86,11,10073.0
2019-20,Memphis Grizzlies,33.85,32.37,12,8259.0
2019-20,Miami Heat,59.4,58.73,12,13179.0
2019-20,Milwaukee Bucks,83.96,84.91,10,12632.0
2019-20,Minnesota Timberwolves,37.0,39.11,6,11627.0
2019-20,New Orleans Pelicans,40.85,40.53,14,10811.0
2019-20,New York Knicks,50.82,50.56,12,7741.0
2019-20,Oklahoma City Thunder,40.02,37.52,15,15088.0
2019-20,Orlando Magic,99.89,99.9,10,14770.0
2019-20,Philadelphia 76ers,59.74,61.91,10,9710.0
2019-20,Phoenix Suns,65.17,65.43,14,10499.0
2019-20,Portland Trail Blazers,48.88,51.78,11,14704.0
2019-20,Sacramento Kings,73.64,73.61,11,12081.0
2019-20,San Antonio Spurs,89.83,90.24,10,16051.0
2019-20,Toronto Raptors,69.76,68.79,11,14076.0
2019-20,Utah Jazz,53.39,55.04,14,14503.0
2019-20,Washington Wizards,53.63,55.67,15,8466.0
2020-21,Atlanta Hawks,73.76,75.24,13,5305.0
