Season,Team,Vegas_Over_Under,Championship_Odds,Source
2022-23,Portland Trail Blazers,,,DraftKings/Bovada
2022-23,Sacramento Kings,,,DraftKings/Bovada
2022-23,San Antonio Spurs,,,DraftKings/Bovada
2022-23,Toronto Raptors,,,DraftKings/Bovada
2022-23,Utah Jazz,,,DraftKings/Bovada
2022-23,Washington Wizards,,,DraftKings/Bovada
2023-24,Atlanta Hawks,,,DraftKings/Bovada
2023-24,Boston Celtics,,,DraftKings/Bovada
2023-24,Brooklyn Nets,,,DraftKings/Bovada
2023-24,Charlotte Hornets,,,DraftKings/Bovada
2023-24,Chicago Bulls,,,DraftKings/Bovada
2023-24,Cleveland Cavaliers,,,DraftKings/Bovada
2023-24,Dallas Mavericks,,,DraftKings/Bovada
2023-24,Denver Nuggets,,,DraftKings/Bovada
2023-24,Detroit Pistons,,,DraftKings/Bovada
2023-24,Golden State Warriors,,,DraftKings/Bovada
2023-24,Houston Rockets,,,DraftKings/Bovada
2023-24,Indiana Pacers,,,DraftKings/Bovada
2023-24,Los Angeles Clippers,,,DraftKings/Bovada
2023-24,Los Angeles Lakers,,,DraftKings/Bovada
2023-24,Memphis Grizzlies,,,DraftKings/Bovada
2023-24,Miami Heat,,,DraftKings/Bovada
2023-24,Milwaukee Bucks,,,DraftKings/Bovada
2023-24,Minnesota Timberwolves,,,DraftKings/Bovada
2023-24,New Orleans Pelicans,,,DraftKings/Bovada
2023-24,New York Knicks,,,DraftKings/Bovada
2023-24,Oklahoma City Thunder,,,DraftKings/Bovada
2023-24,Orlando Magic,,,DraftKings/Bovada
2023-24,Philadelphia 76ers,,,DraftKings/Bovada
2023-24,Phoenix Suns,,,DraftKings/Bovada
2023-24,Portland Trail Blazers,,,DraftKings/Bovada
2023-24,Sacramento Kings,,,DraftKings/Bovada
2023-24,San Antonio Spurs,,,DraftKings/Bovada
2023-24,Toronto Raptors,,,DraftKings/Bovada
2023-24,Utah Jazz,,,DraftKings/Bovada
2023-24,Washington Wizards,,,DraftKings/Bovada
2024-25,Atlanta Hawks,36.5,,DraftKings/Bovada
2024-25,Boston Celtics,58.5,,DraftKings/Bovada
2024-25,Brooklyn Nets,19.5,,DraftKings/Bovada
2024-25,Charlotte Hornets,29.5,,DraftKings/Bovada
2024-25,Chicago Bulls,28.5,,DraftKings/Bovada
2024-25,Cleveland Cavaliers,48.5,,DraftKings/Bovada
2024-25,Dallas Mavericks,50.5,,DraftKings/Bovada
2024-25,Denver Nuggets,54.5,,DraftKings/Bovada
2024-25,Detroit Pistons,25.5,,DraftKings/Bovada
2024-25,Golden State Warriors,44.5,,DraftKings/Bovada
2024-25,Houston Rockets,42.5,,DraftKings/Bovada
2024-25,Indiana Pacers,47.5,,DraftKings/Bovada
2024-25,Los Angeles Clippers,44.5,,DraftKings/Bovada
2024-25,Los Angeles Lakers,48.5,,DraftKings/Bovada
2024-25,Memphis Grizzlies,50.5,,DraftKings/Bovada
2024-25,Miami Heat,45.5,,DraftKings/Bovada
2024-25,Milwaukee Bucks,54.5,,DraftKings/Bovada
2024-25,Minnesota Timberwolves,51.5,,DraftKings/Bovada
2024-25,New Orleans Pelicans,47.5,,DraftKings/Bovada
2024-25,New York Knicks,53.5,,DraftKings/Bovada
2024-25,Oklahoma City Thunder,56.5,,DraftKings/Bovada
2024-25,Orlando Magic,47.5,,DraftKings/Bovada
2024-25,Philadelphia 76ers,50.5,,DraftKings/Bovada
2024-25,Phoenix Suns,49.5,,DraftKings/Bovada
2024-25,Portland Trail Blazers,21.5,,DraftKings/Bovada
2024-25,Sacramento Kings,46.5,,DraftKings/Bovada
2024-25,San Antonio Spurs,35.5,,DraftKings/Bovada
2024-25,Toronto Raptors,28.5,,DraftKings/Bovada
2024-25,Utah Jazz,28.5,,DraftKings/Bovada
2024-25,Washington Wizards,20.5,,DraftKings/Bovada
2025-26,Atlanta Hawks,,,DraftKings/Bovada
2025-26,Boston Celtics,,,DraftKings/Bovada
2025-26,Brooklyn Nets,,,DraftKings/Bovada
2025-26,Charlotte Hornets,,,DraftKings/Bovada
2025-26,Chicago Bulls,,,DraftKings/Bovada
2025-26,Cleveland Cavaliers,,,DraftKings/Bovada
2025-26,Dallas Mavericks,,,DraftKings/Bovada
2025-26,Denver Nuggets,,,DraftKings/Bovada
2025-26,Detroit Pistons,,,DraftKings/Bovada
2025-26,Golden State Warriors,,,DraftKings/Bovada
2025-26,Houston Rockets,,,DraftKings/Bovada
2025-26,Indiana Pacers,,,DraftKings/Bovada
2025-26,Los Angeles Clippers,,,DraftKings/Bovada
2025-26,Los Angeles Lakers,,,DraftKings/Bovada
2025-26,Memphis Grizzlies,,,DraftKings/Bovada
2025-26,Miami Heat,,,DraftKings/Bovada
2025-26,Milwaukee Bucks,,,DraftKings/Bovada
2025-26,Minnesota Timberwolves,,,DraftKings/Bovada
2025-26,New Orleans Pelicans,,,DraftKings/Bovada
2025-26,New York Knicks,,,DraftKings/Bovada
2025-26,Oklahoma City Thunder,,,DraftKings/Bovada
2025-26,Orlando Magic,,,DraftKings/Bovada
2025-26,Philadelphia 76ers,,,DraftKings/Bovada
2025-26,Phoenix Suns,,,DraftKings/Bovada
2025-26,Portland Trail Blazers,,,DraftKings/Bovada
2025-26,Sacramento Kings,,,DraftKings/Bovada
2025-26,San Antonio Spurs,,,DraftKings/Bovada
2025-26,Toronto Raptors,,,DraftKings/Bovada
2025-26,Utah Jazz,,,DraftKings/Bovada
2025-26,Washington Wizards,,,DraftKings/Bovada
