PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FTFreq%","TOVFreq%","SFFreq%","And OneFreq%","ScoreFreq%",Percentile
Jaime Jaquez Jr.,MIA,75,1.6,13.4,0.83,1.3,0.5,1.1,47.6,48.2,10.1,21.8,10.1,0.8,41.2,44.6
Caleb Martin,MIA,64,1.4,13,0.82,1.1,0.5,1.1,42.9,45.7,8,14.8,6.8,2.3,38.6,41.3
Josh Richardson,MIA,43,1.5,16.4,0.91,1.4,0.6,1.3,47.3,49.1,4.5,12.1,1.5,0,43.9,63.9
Bam Adebayo,MIA,71,0.3,1.4,0.95,0.3,0.1,0.2,43.8,43.8,15.8,5.3,10.5,5.3,47.4,74.4
Delon Wright,MIA,14,1.2,22.1,0.82,1,0.3,0.9,30.8,30.8,23.5,0,23.5,0,47.1,42.8
Patty Mills,MIA,13,0.9,12.9,0.75,0.7,0.3,0.8,40,45,0,16.7,0,0,33.3,28.3
Damian Lillard,MIL,72,9.9,43.1,0.99,9.8,3.2,7.5,42.5,49.8,13,13.4,9.6,1.7,43.3,83.4
Giannis Antetokounmpo,MIL,72,3.3,12.1,1.15,3.8,1.4,2.3,61.1,63.3,24.4,15,23.1,8.5,57.7,97.1
Khris Middleton,MIL,54,4.1,27.6,0.88,3.6,1.5,3.2,46.5,51.7,5,18.5,4.5,0.9,40.1,58.3
Cameron Payne,MIL,46,1.6,27.7,1.05,1.7,0.6,1.3,50,56.9,9.6,13.7,9.6,2.7,46.6,91.5
Pat Connaughton,MIL,76,0.5,8.6,0.97,0.5,0.2,0.3,52,58,11.1,22.2,11.1,2.8,44.4,79.5
Patrick Beverley,MIL,26,1,16.3,0.74,0.8,0.3,0.8,31.8,31.8,11.1,7.4,7.4,0,37,27
Jae Crowder,MIL,50,0.2,3.9,1.33,0.3,0.1,0.2,50,66.7,0,0,0,0,50,98.7
AJ Green,MIL,55,0.3,6.7,0.64,0.2,0.1,0.2,25,37.5,0,14.3,0,0,21.4,15.4
MarJon Beauchamp,MIL,47,0.3,5.9,0.67,0.2,0.1,0.2,30,30,8.3,8.3,8.3,0,33.3,17.4
Anthony Edwards,MIN,79,7.3,28.6,0.95,6.9,2.5,5.5,44.9,49.8,12.7,14.8,11.3,3.3,43.2,74.9
Mike Conley,MIN,76,3.5,34.1,0.93,3.3,1.1,2.7,40.8,51.2,8.9,16.7,7.8,2.2,37.9,71
Kyle Anderson,MIN,79,1.5,20.2,0.71,1.1,0.4,1,35.9,35.9,15.1,20.2,14.3,0.8,37,21.5
Nickeil Alexander-Walker,MIN,82,1.3,16.4,0.63,0.8,0.3,1,33.8,36.3,6.6,19.8,5.7,1.9,30.2,14.3
Jaden McDaniels,MIN,72,0.6,5.3,0.82,0.5,0.2,0.5,47.1,47.1,2.5,12.5,2.5,0,42.5,43.3
Shake Milton,MIN,38,1,18.9,0.82,0.8,0.3,0.7,48.1,51.9,7.7,25.6,5.1,2.6,38.5,42
Karl-Anthony Towns,MIN,62,0.7,3.4,0.74,0.5,0.2,0.5,37.5,43.8,4.7,20.9,2.3,0,32.6,27.5
Monte Morris,MIN,27,1.1,22,0.86,0.9,0.4,1,39.3,41.1,3.4,0,0,0,41.4,52.8
Naz Reid,MIN,81,0.2,1.9,1.1,0.3,0.1,0.2,78.6,78.6,10,25,10,5,55,96.1
Jordan McLaughlin,MIN,56,0.4,12.1,1,0.4,0.1,0.3,50,60.7,9.5,23.8,4.8,0,42.9,86.6
Brandon Ingram,NOP,64,5.6,28,0.96,5.4,2.2,4.4,50.2,52.1,9.4,13.3,7.2,1.4,47.2,77.2
CJ McCollum,NOP,65,4.9,26.3,1.05,5.2,2,4.1,48.7,57.1,6.3,11.3,6,1.3,45.5,90.6
Zion Williamson,NOP,69,3.8,17.8,0.94,3.6,1.4,2.7,53,53,18.2,16.7,17,4.9,48.9,73
Herbert Jones,NOP,75,0.7,7.3,1.04,0.7,0.3,0.5,48.7,51.3,18.5,11.1,13,1.9,51.9,89.6
Trey Murphy III,NOP,57,0.7,5.7,1.35,0.9,0.3,0.6,52.8,68.1,10,5,7.5,5,52.5,99
Jose Alvarado,NOP,55,1.3,17.6,0.55,0.7,0.3,1.1,24.1,28.4,8.5,9.9,7,0,25.4,8.5
Naji Marshall,NOP,66,0.7,10.6,0.76,0.6,0.2,0.5,36.4,36.4,16.3,16.3,16.3,0,40.8,29.3
Dyson Daniels,NOP,60,0.8,12.8,0.72,0.6,0.3,0.6,40.5,40.5,6,20,6,0,36,22.9
Jordan Hawkins,NOP,67,0.5,6.8,0.64,0.3,0.1,0.4,31,32.8,5.6,13.9,2.8,0,30.6,15
Jalen Brunson,NYK,76,10.6,40.7,1.05,11.2,4.1,8.7,47.4,53.1,12.5,9.4,10.9,4,47.5,90.9
Immanuel Quickley,NYK,29,4.3,31.6,1.18,5.1,1.7,3.4,50,58.5,16,6.4,14.4,2.4,53.6,97.4
Donte DiVincenzo,NYK,80,1.7,11.5,0.95,1.6,0.6,1.3,46.7,55.2,5.3,17.3,5.3,1.5,40.6,74.4
Miles McBride,NYK,67,1.5,20.3,0.9,1.4,0.6,1.4,42.4,47.3,2.9,6.9,1,0,41.2,61.6
Julius Randle,NYK,45,2.5,10.3,0.73,1.8,0.7,1.7,40.3,44.2,9.7,24.8,8.8,2.7,34.5,23.8
RJ Barrett,NYK,25,3.4,18.4,0.74,2.6,1,2.8,37.7,38.4,8.1,14,8.1,2.3,36,27.5
Josh Hart,NYK,80,0.9,8.8,0.8,0.7,0.3,0.7,39.7,47.4,4.1,18.9,4.1,1.4,33.8,37.3
Alec Burks,NYK,23,3,35.8,0.65,2,0.7,2.5,25.9,30.2,10.1,7.2,10.1,1.4,30.4,16.3
Quentin Grimes,NYK,44,0.6,7.8,0.88,0.5,0.1,0.4,31.6,47.4,8,16,4,0,32,58.6
OG Anunoby,NYK,23,1.1,8.3,0.85,1,0.4,0.9,47.6,47.6,7.7,15.4,7.7,3.8,42.3,48.7
Bojan Bogdanovic,NYK,29,1.1,9.9,0.55,0.6,0.2,0.7,30,30,9.7,25.8,9.7,0,29,8.1
Malachi Flynn,NYK,14,1,45.2,0.64,0.6,0.2,0.7,30,35,14.3,14.3,7.1,0,35.7,15.4
Shai Gilgeous-Alexander,OKC,75,7.7,30.3,1.14,8.8,3.2,5.9,54.2,56.9,18.6,10.8,15.3,5.3,53.9,96.7
Jalen Williams,OKC,71,6.3,37,1,6.3,2.6,5.1,51.4,53.3,8.9,10.7,8.3,0.9,49.3,87.3
Josh Giddey,OKC,80,2.5,18.5,0.87,2.2,0.9,1.8,51,51.7,9.1,22.3,8.6,4.1,42.1,57.3
Luguentz Dort,OKC,79,0.8,7.6,0.95,0.7,0.3,0.6,47.7,51.1,19.7,14.8,19.7,6.6,45.9,75.2
Cason Wallace,OKC,82,0.7,10.9,0.87,0.6,0.3,0.5,51.2,53.5,3.6,20,3.6,1.8,41.8,57
Aaron Wiggins,OKC,78,0.5,7.8,1.06,0.5,0.2,0.3,60,68,8.3,27.8,8.3,5.6,44.4,91.9
Vasilije Micic,OKC,30,1.6,37.5,0.79,1.3,0.5,1.3,42.1,47.4,4.2,18.8,4.2,2.1,35.4,35.2
Chet Holmgren,OKC,82,0.4,2.8,1,0.4,0.1,0.2,40,42.5,26.5,14.7,26.5,0,50,86.6
Gordon Hayward,OKC,26,1,19,0.77,0.8,0.3,0.7,42.1,42.1,19.2,15.4,15.4,7.7,42.3,31.4
Tre Mann,OKC,14,1.2,34,0.82,1,0.5,1,50,50,0,17.6,0,0,41.2,42.8
Ousmane Dieng,OKC,33,0.5,12.1,0.53,0.3,0.1,0.4,28.6,28.6,5.9,17.6,5.9,5.9,23.5,7.5
Isaiah Joe,OKC,78,0.3,3.6,0.45,0.1,0.1,0.2,23.5,26.5,0,15,0,0,20,3.9
Paolo Banchero,ORL,80,6.5,27.2,0.83,5.4,2,4.9,39.7,43.9,13.3,13.5,12.1,2.5,39.9,45
Franz Wagner,ORL,72,5,26.2,0.93,4.6,1.8,3.8,46.5,48.7,13.4,13.6,12.8,3.1,45.4,70
Cole Anthony,ORL,81,4,32.7,0.83,3.3,1.2,3,41.8,43.1,11.6,15.3,9.7,1.6,41.3,44
Jalen Suggs,ORL,75,1.9,15.6,0.8,1.5,0.6,1.4,41.1,48.6,4.9,21.7,4.2,1.4,34.3,36.8
Markelle Fultz,ORL,43,2.3,25.1,0.8,1.8,0.9,1.9,47.5,47.5,4.1,15.3,4.1,1,40.8,35.8
Joe Ingles,ORL,68,1.2,27.1,0.56,0.7,0.3,0.7,36.2,40.4,6.1,37.8,3.7,1.2,25.6,8.8
Anthony Black,ORL,69,0.7,13.7,0.61,0.4,0.1,0.4,33.3,35,15.2,21.7,15.2,2.2,30.4,12.1
Gary Harris,ORL,54,0.2,3.5,1.5,0.3,0.1,0.2,66.7,88.9,8.3,16.7,0,0,58.3,99.7
Tyrese Maxey,PHI,70,8.4,35,1,8.4,3.2,7.1,44.4,51,9.7,8.8,9.2,3.2,44,87.9
Kelly Oubre Jr.,PHI,68,2.3,14.7,0.86,2,0.7,1.9,37.7,41.9,12.2,7.1,12.2,2.6,41,52.4
Patrick Beverley,PHI,47,2.4,35.5,0.95,2.3,0.8,1.8,46.4,48.2,14.2,15,12.4,3.5,45.1,73.6
De'Anthony Melton,PHI,38,2.4,21.1,1.1,2.7,0.9,1.9,46.5,57,14.1,12,13,3.3,46.7,95.8
Cameron Payne,PHI,31,3.5,35.7,0.87,3.1,1.2,3,39.4,47.3,3.7,11.9,3.7,1.8,35.8,56.4
Tobias Harris,PHI,70,1.8,11.2,0.72,1.3,0.6,1.6,36.3,36.7,3.9,7.1,3.9,0,36.2,23.5
Kyle Lowry,PHI,23,1.6,20.4,0.92,1.5,0.5,1.1,46.2,55.8,8.1,24.3,8.1,2.7,37.8,67.1
Joel Embiid,PHI,39,0.4,1.2,1.6,0.6,0.2,0.4,57.1,75,6.7,0,6.7,0,60,100
Buddy Hield,PHI,32,0.8,6.5,0.48,0.4,0.2,0.6,33.3,33.3,0,28,0,0,24,5.2
Jeff Dowtin Jr.,PHI,12,1.1,31,0.77,0.8,0.3,0.8,40,50,0,23.1,0,0,30.8,31.4
Devin Booker,PHX,67,7.6,30.9,1.06,8.1,2.8,5.8,48.1,54.5,13.8,11.8,12,2,48.5,92.8
Kevin Durant,PHX,74,3.8,15.5,1,3.8,1.5,2.9,51.4,56.1,9.2,16.9,8.1,1.4,46.5,86.6
Bradley Beal,PHX,53,4.2,24,1.02,4.3,1.7,3.2,53.5,57.4,9.9,16.2,9.5,2.7,47.7,88.3
Grayson Allen,PHX,74,0.7,6.6,1.19,0.9,0.3,0.5,62.9,78.6,13,25.9,13,3.7,50,97.7
Eric Gordon,PHX,67,1.2,11.4,0.79,1,0.4,1,45.3,46.9,3.7,18.5,3.7,1.2,38.3,34.9
Jordan Goodwin,PHX,39,1.1,18.1,0.95,1,0.4,0.9,50,52.9,7.3,12.2,7.3,2.4,43.9,75.6
Anfernee Simons,POR,46,8.9,39.9,0.92,8.2,3.1,7,43.5,50,8,14.4,7.3,1.2,40.9,68.1
Scoot Henderson,POR,62,7,39.8,0.86,6,2.4,5.2,45.1,49.7,7.3,19.9,5.9,1.4,39.4,52.1
Malcolm Brogdon,POR,39,5.8,37.2,0.8,4.6,1.7,4.8,34.9,39,9.7,9.3,8,1.3,37.2,38.8
Jerami Grant,POR,54,2.8,13.8,0.82,2.3,0.9,2.1,44.7,44.7,9.9,15.9,9.3,1.3,41.7,42.3
Dalano Banton,POR,30,5.1,27.2,0.79,4,1.4,3.8,36.5,40.9,12.5,14.5,11.2,2.6,36.8,34.5
Shaedon Sharpe,POR,32,5.3,30.6,0.68,3.6,1.3,4,33.6,38.7,5.8,19.3,5.3,0,31,18.6
Skylar Mays,POR,21,3.1,40.1,0.81,2.5,1,2.7,39.3,41.1,6.2,9.2,4.6,1.5,38.5,40.4
Ashton Hagans,POR,19,1.3,22,0.63,0.8,0.3,0.8,37.5,37.5,8.3,29.2,8.3,4.2,29.2,14
Kris Murray,POR,62,0.3,4.5,0.5,0.2,0.1,0.2,26.7,30,5,20,5,0,25,5.9
Rayan Rupert,POR,39,0.3,5.9,0.58,0.2,0.1,0.3,30,35,0,16.7,0,0,25,10.1
Jamaree Bouyea,POR,6,1.7,34.5,0.4,0.7,0.3,1.2,28.6,28.6,0,30,0,0,20,2.3
Matisse Thybulle,POR,65,0.2,3,0.36,0.1,0,0.1,33.3,33.3,9.1,36.4,0,0,18.2,1.6
De'Aaron Fox,SAC,73,8.2,31.7,0.97,7.9,3.1,6.5,47.7,52.4,9.2,12.6,7.9,1.8,45.4,78.2
Malik Monk,SAC,71,4.7,29.9,0.91,4.2,1.6,3.5,45.5,50.6,9.3,18.1,9,1.5,41.6,62.5
Davion Mitchell,SAC,72,1.1,21.4,0.96,1.1,0.5,0.9,53.8,56.2,7.3,15.9,4.9,2.4,46.3,77.9
Harrison Barnes,SAC,81,0.5,5,1.09,0.6,0.2,0.4,45.5,56.1,20.9,7,20.9,4.7,48.8,95.4
Keon Ellis,SAC,56,0.6,12,1.09,0.7,0.2,0.5,50,67.3,2.9,20.6,2.9,0,41.2,94.5
Domantas Sabonis,SAC,81,0.3,1.9,1.04,0.4,0.1,0.2,57.1,60.7,25,28.6,25,3.6,50,89.3
Keegan Murray,SAC,76,0.6,4.4,0.62,0.4,0.2,0.6,31,33.3,2.1,10.6,2.1,2.1,27.7,13.4
Kevin Huerter,SAC,63,0.6,5.9,0.49,0.3,0.1,0.4,29.2,35.4,2.7,35.1,2.7,2.7,18.9,5.5
Chris Duarte,SAC,59,0.4,9.9,0.68,0.3,0.1,0.3,25,34.4,16,20,12,0,32,18.9
Devin Vassell,SAS,68,4.6,25,0.93,4.3,1.7,3.8,45.7,49.8,6.8,12.3,6.1,2.3,42.6,70.7
Tre Jones,SAS,77,2.9,29.5,0.96,2.8,1.2,2.3,51.7,53.1,7.9,15.4,5.7,0.9,47.1,77.5
Keldon Johnson,SAS,69,2.7,17.5,0.94,2.5,1,2.1,46.5,50,11.4,14.6,9.7,2.7,44.3,71.7
