PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Jayson Tatum,BOS,74,57,17,35.7,8.3,3.2,8.7,36.3,2,5.6,34.9,47.5
Jeff Dowtin Jr.,PHI,12,7,5,11.8,1.4,0.5,1.3,40,0.4,1.1,38.5,56.7
Jerome Robinson,GSW,22,17,5,3.7,0,0,0.1,0,0,0.1,0,0
Jett Howard,ORL,18,9,9,3.7,0.4,0.2,0.7,23.1,0.1,0.6,18.2,30.8
Jevon Carter,CHI,72,35,37,13.9,2.2,0.9,2.4,37.5,0.3,1.2,27.1,44
Joe Harris,DET,16,4,12,10.6,0,0,0.1,0,0,0.1,0,0
Joe Ingles,ORL,68,42,26,17.2,0.5,0.2,0.8,22.6,0.2,0.7,22,33
John Konchar,MEM,55,18,37,21.3,0,0,0.2,0,0,0.2,0,0
Johnny Davis,WAS,50,8,42,12.3,0.3,0.1,0.6,24.1,0,0.1,25,25.9
Johnny Juzang,UTA,20,5,15,18.6,0.4,0.2,0.8,20,0.1,0.5,22.2,26.7
Jordan Clarkson,UTA,55,22,33,30.6,4.3,1.8,5.2,35,0.7,2.6,25,41.3
Jordan Ford,SAC,6,2,4,3.6,0.8,0.3,0.7,50,0.2,0.2,100,62.5
Jordan Goodwin,MEM,57,30,27,18.5,1.6,0.7,2.1,33.1,0.2,0.7,26.2,37.7
Jordan Hawkins,NOP,67,38,29,17.3,1.5,0.7,1.9,35.2,0.2,0.7,28,40.8
Jordan McLaughlin,MIN,56,35,21,11.2,0.4,0.2,0.4,42.9,0.1,0.3,46.7,59.5
Jordan Miller,LAC,8,5,3,3.5,0,0,0.3,0,0,0,-,0
Jordan Poole,WAS,78,15,63,30.1,5.5,2.2,6.4,34.6,1.1,3.5,30.4,42.9
Jordan Walsh,BOS,9,9,0,9.3,0,0,0,-,0,0,-,-
Jose Alvarado,NOP,56,38,18,18.4,0.9,0.4,1.1,33.3,0.2,0.7,35.1,44.2
Josh Giddey,OKC,80,56,24,25.1,1.2,0.6,1.3,45.2,0,0.2,20,46.6
Josh Green,DAL,57,32,25,26.4,0.6,0.2,0.6,38.9,0.1,0.2,36.4,44.4
Josh Hart,NYK,81,49,32,33.4,1.5,0.6,2,31.7,0.2,0.8,26.5,37.2
Josh Okogie,PHX,60,37,23,16,0.2,0.1,0.3,37.5,0,0.1,20,40.6
Josh Richardson,MIA,43,24,19,25.6,1.3,0.6,1.7,36.5,0.1,0.3,21.4,38.5
Joshua Primo,LAC,2,2,0,5.1,0,0,0,-,-,-,-,-
Jrue Holiday,BOS,69,53,16,32.8,3.7,1.4,3.5,39.9,0.9,2.2,39.3,52.1
Jules Bernard,WAS,19,2,17,7.9,0.7,0.3,0.6,45.5,0.2,0.5,44.4,63.6
Julian Strawther,DEN,50,34,16,10.9,0.8,0.3,0.9,37.2,0.1,0.4,31.6,44.2
Justin Champagnie,WAS,15,3,12,15.7,0.4,0.1,0.5,28.6,0.1,0.4,33.3,42.9
