PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Amen Thompson,HOU,69,43,26,32.3,1,0.5,1.4,34.7,0,0.2,15.4,35.8
Amir Coffey,LAC,72,41,31,24.3,1.7,0.8,1.8,43.4,0.1,0.4,28.6,46.5
Andre Drummond,PHI,40,12,28,18.8,0.1,0,0.1,50,0,0,0,50
Andre Jackson Jr.,MIL,67,39,28,14.6,0.3,0.1,0.3,39.1,0.1,0.1,44.4,47.8
Andrew Nembhard,IND,65,44,21,28.9,2.8,1.3,3.1,43.2,0.2,0.7,27.3,46.2
Andrew Wiggins,MIA,60,27,33,30.7,3.2,1.3,3.6,35.8,0.6,1.7,34.3,43.8
Anfernee Simons,POR,70,28,42,32.7,6.9,2.7,7.2,38.3,1.4,4.2,34.7,48.4
Anthony Black,ORL,78,39,39,24.2,1.3,0.6,1.7,33.1,0.2,0.6,28.6,38.2
Anthony Davis,DAL,51,30,21,33.4,3.1,1.5,3.8,40.4,0.1,0.4,19,41.5
Anthony Edwards,MIN,79,48,31,36.3,11.3,4.2,11.2,37.8,2.9,7.6,38.5,50.9
Anthony Gill,WAS,51,7,44,7.8,0,0,0.1,0,0,0,0,0
Anton Watson,NYK,9,5,4,2.5,0,0,0,-,0,0,-,-
Antonio Reeves,NOP,44,6,38,15,1.6,0.7,1.7,40,0.2,0.7,31.3,46.7
Ariel Hukporti,NYK,25,17,8,8.7,0.2,0.1,0.1,66.7,-,-,-,66.7
Armel Traore,LAL,9,5,4,7.4,0,0,0,-,0,0,-,-
Ausar Thompson,DET,59,34,25,22.5,0.2,0.1,0.5,16.7,0,0.1,12.5,18.3
Austin Reaves,LAL,73,46,27,34.9,5.3,2.1,5.4,38.4,1.2,3.3,34.9,49
Ayo Dosunmu,CHI,46,17,29,30.3,0.8,0.3,1.1,28.6,0.2,0.7,26.7,36.7
Bam Adebayo,MIA,78,36,42,34.3,3.3,1.6,3.8,41.3,0.2,0.6,28.9,43.5
Baylor Scheierman,BOS,31,27,4,12.4,0.7,0.3,0.8,30.8,0.2,0.5,40,42.3
Ben Sheppard,IND,63,40,23,19.5,0.3,0.1,0.4,34.6,0.1,0.3,20,42.3
Ben Simmons,LAC,51,26,25,22,0.4,0.2,0.4,50,-,-,-,50
Bennedict Mathurin,IND,72,43,29,29.9,3.1,1.3,4,31.6,0.6,2.2,28.6,39.6
Bilal Coulibaly,WAS,59,13,46,33,1.4,0.6,2.1,28.5,0.2,0.6,33.3,33.3
Bismack Biyombo,SAS,28,10,18,18.8,0,0,0,0,-,-,-,0
Blake Wesley,SAS,58,23,35,11.8,0.3,0.1,0.4,28,0,0.1,33.3,32
Bobby Portis,MIL,49,30,19,25.4,2.3,1.1,2.8,40.7,0.1,0.2,55.6,42.6
Bobi Klintman,DET,8,4,4,5.3,0.4,0.1,0.1,100,0.1,0.1,100,150
Bogdan Bogdanović,LAC,54,33,21,25,3.1,1.3,3.1,42.2,0.5,1.5,34.9,50.9
Bol Bol,PHX,36,10,26,12.5,1.9,0.9,1.7,51.7,0.2,0.6,27.3,56.7
Bones Hyland,MIN,24,11,13,9.9,3.2,1.1,3,38,0.9,2.3,40,53.5
Bradley Beal,PHX,53,22,31,32.1,4.5,2,4.8,42,0.5,1.4,32.4,46.7
Branden Carlson,OKC,32,29,3,7.7,0.1,0.1,0.1,66.7,0,0,0,66.7
Brandin Podziemski,GSW,64,38,26,26.8,3.5,1.5,3.8,38.8,0.6,1.8,31.9,46.5
Brandon Boston,NOP,42,8,34,23.6,3.4,1.5,4,37.1,0.4,1.3,26.8,41.5
Brandon Clarke,MEM,64,40,24,18.9,0.2,0.1,0.3,33.3,0,0,-,33.3
Brandon Ingram,TOR,18,5,13,33.1,8.8,4.1,9.6,42.4,0.7,2.3,31,46.2
Brandon Miller,CHA,27,8,19,34.2,5.2,2,6.5,31.3,1.1,3.8,30.4,40.1
Brandon Williams,DAL,33,15,18,14.8,1.2,0.5,1.2,41,0.2,0.7,26.1,48.7
Braxton Key,GSW,3,3,0,3.6,0,0,0,-,0,0,-,-
Brice Sensabaugh,UTA,71,14,57,20.2,2.5,1,2.5,38.9,0.5,1.4,36.4,48.9
Bronny James,LAL,27,17,10,6.7,0.9,0.3,1.1,31,0.2,0.6,35.3,41.4
Brook Lopez,MIL,80,47,33,31.8,0.8,0.4,1,38.5,0.1,0.2,38.5,41.7
Bruce Brown,NOP,41,15,26,22.5,1.2,0.6,1.6,36.4,0.1,0.1,50,38.6
Bruno Fernando,TOR,17,2,15,8.6,0,0,0.1,0,-,-,-,0
Bryce McGowens,POR,13,8,5,2.5,0,0,0.2,0,0,0.2,0,0
Bub Carrington,WAS,82,18,64,30,4.6,1.9,4.5,42,0.8,2.4,35.4,51.3
Buddy Hield,GSW,82,48,34,22.7,2.4,0.9,2.7,32.1,0.6,2,31.9,43.8
CJ McCollum,NOP,56,17,39,32.7,7.4,3,7.9,37.8,1.4,4,34.5,46.6
Cade Cunningham,DET,70,38,32,35,8,3.4,8.1,41.4,1.3,3.8,33.8,49.4
Caleb Houstan,ORL,58,29,29,13.6,0.5,0.2,0.4,47.8,0.1,0.2,41.7,58.7
Caleb Martin,DAL,45,17,28,27.1,1.2,0.6,1.7,35.5,0,0.4,5.9,36.2
Cam Christie,LAC,13,10,3,4.5,0.2,0.1,0.6,12.5,0,0.5,0,12.5
Cam Reddish,LAL,33,15,18,17.9,0.1,0,0.2,16.7,0,0.1,0,16.7
Cam Spencer,MEM,25,14,11,10.1,0.8,0.3,0.9,36.4,0.2,0.6,35.7,47.7
Cam Thomas,BKN,25,8,17,31.2,9.3,3.8,9.5,39.7,1.8,5.2,34.9,49.2
Cam Whitmore,HOU,51,30,21,16.2,2.4,0.9,2.3,40,0.6,1.6,38.1,53.9
Cameron Johnson,BKN,57,21,36,31.6,3.7,1.5,3.9,38.2,0.7,2.1,35.9,47.7
Cameron Payne,NYK,72,46,26,15.1,2.9,1.1,2.6,42.2,0.7,1.7,40.3,55.1
Caris LeVert,ATL,64,46,18,24.9,2.6,1,2.5,38.9,0.6,1.5,41.9,50.9
Cason Wallace,OKC,68,55,13,27.6,0.7,0.3,0.9,31.3,0.1,0.4,26.9,36.7
Charles Bassey,SAS,36,14,22,10.4,0.1,0,0.1,25,-,-,-,25
Chet Holmgren,OKC,32,26,6,27.4,1.1,0.4,1.4,30.4,0.2,0.3,60,37
Chris Boucher,TOR,50,18,32,17.2,0.6,0.3,0.7,37.1,0.1,0.3,23.5,42.9
Chris Duarte,CHI,17,4,13,4.4,0.4,0.1,0.5,22.2,0.1,0.5,22.2,33.3
Chris Livingston,MIL,21,15,6,5,0,0,0,-,0,0,-,-
Chris Paul,SAS,82,34,48,28,5.4,2.1,5.1,42.4,1.1,2.9,37,52.9
Christian Braun,DEN,79,48,31,33.9,1.2,0.5,1.1,43.2,0.2,0.5,43.6,52.8
Christian Koloko,LAL,37,23,14,9.2,0.1,0,0.1,50,0,0,0,50
Chuma Okeke,CLE,9,2,7,21.9,0.3,0.1,0.4,25,0.1,0.4,25,37.5
Clint Capela,ATL,55,27,28,21.4,0,0,0,0,0,0,-,0
Coby White,CHI,74,35,39,33.1,5.1,1.9,5.1,37.9,1.2,3.4,34.5,49.2
Cody Martin,PHX,53,16,37,22.1,1.1,0.5,1.5,32.1,0.2,0.5,34.6,37.8
Cody Williams,UTA,50,9,41,21.2,0.3,0.1,0.6,19.4,0,0.1,16.7,21
Colby Jones,WAS,39,12,27,13.2,1.1,0.4,1.1,41.5,0.2,0.4,41.2,50
Cole Anthony,MEM,67,35,32,18.4,2.3,1,2.8,36.8,0.3,0.8,35.7,42.2
Cole Swider,IND,10,5,5,16.9,1.8,0.8,1.9,42.1,0.2,1,20,47.4
Colin Castleton,TOR,26,15,11,16.6,0,0,0.1,0,0,0,0,0
Collin Gillespie,PHX,33,12,21,14,1.6,0.6,1.6,38.5,0.4,0.8,42.9,50
Collin Sexton,UTA,63,14,49,27.9,4.7,1.9,4.7,41.1,0.9,2.2,38.6,50.2
Corey Kispert,WAS,61,14,47,26.3,1,0.4,1.2,33.8,0.3,0.8,33.3,45.1
Cory Joseph,ORL,50,26,24,12.2,0.6,0.3,0.7,36.1,0.1,0.3,29.4,43.1
Craig Porter Jr.,CLE,51,40,11,10.1,1,0.4,0.9,42.6,0.3,0.6,43.3,56.4
Cui Cui,BKN,5,2,3,2.1,0,0,0,-,0,0,-,-
D'Angelo Russell,BKN,58,26,32,25.5,4.5,1.7,4.8,35.9,1.1,3,35.1,46.8
D.J. Carton,TOR,4,1,3,8.3,0,0,0,-,0,0,-,-
DaQuan Jeffries,CHA,47,9,38,22.8,0.8,0.3,0.8,44.4,0.1,0.3,33.3,51.4
Daeqwon Plowden,ATL,6,3,3,11.9,0,0,0,-,0,0,-,-
Daishen Nix,MIN,3,3,0,4.4,0,0,0,-,0,0,-,-
Dalano Banton,POR,67,28,39,16.7,1,0.4,1.6,26.2,0.2,0.8,24.5,32.2
Dalen Terry,CHI,73,33,40,13.5,0.1,0,0.2,16.7,0,0.1,16.7,20.8
Dalton Knecht,LAL,78,47,31,19.2,1.7,0.7,1.6,43.5,0.3,0.7,39.7,52.8
Damian Lillard,MIL,58,32,26,36.1,9,3.5,8.7,40.4,1.9,5.4,35,51.3
Damion Baugh,CHA,15,1,14,24.7,0.3,0.1,1,13.3,0.1,0.7,10,16.7
Damion Lee,PHX,25,6,19,5.8,0.7,0.3,0.8,38.1,0,0.3,14.3,40.5
Daniel Gafford,DAL,57,28,29,21.5,0,0,0.1,33.3,-,-,-,33.3
Daniel Theis,NOP,38,10,28,16.3,0.3,0.2,0.3,50,0,0,0,50
Daniss Jenkins,DET,7,3,4,3.2,0.4,0.1,0.4,33.3,0.1,0.4,33.3,50
Danté Exum,DAL,20,7,13,18.6,1,0.5,1.4,33.3,0.1,0.6,18.2,37
Dario Šarić,DEN,16,7,9,13.1,0,0,0.1,0,0,0.1,0,0
Dariq Whitehead,BKN,20,6,14,12.3,0.2,0.1,0.7,7.1,0.1,0.5,10,10.7
Darius Garland,CLE,75,60,15,30.7,7.5,3,7.2,41.4,1.5,4,38.7,52
David Duke Jr.,SAS,6,0,6,5.6,0,0,0.2,0,0,0,-,0
David Roddy,HOU,33,9,24,12.4,0.4,0.2,0.5,33.3,0.1,0.3,36.4,46.7
Davion Mitchell,MIA,74,25,49,27.4,1.4,0.5,1.4,37.9,0.4,0.9,40.9,51
Day'Ron Sharpe,BKN,50,14,36,18.1,0.1,0,0.2,20,0,0,0,20
De'Aaron Fox,SAS,62,27,35,36.1,7.5,3.3,8.1,40.5,0.9,3,30.8,46.2
De'Andre Hunter,CLE,64,38,26,27.2,3,1.3,2.9,44.1,0.5,1.3,38.3,52.4
De'Anthony Melton,BKN,6,4,2,20.2,1.5,0.5,1.8,27.3,0.5,1.7,30,40.9
DeAndre Jordan,DEN,56,37,19,12.3,0,0,0,-,-,-,-,-
DeMar DeRozan,SAC,77,38,39,35.9,9.5,4.6,9.9,47.2,0.2,0.9,26.4,48.4
Dean Wade,CLE,59,47,12,21.2,0.2,0.1,0.2,30.8,0,0.1,28.6,38.5
Deandre Ayton,POR,40,17,23,30.1,1,0.5,1,50,0,0,-,50
Dejounte Murray,NOP,31,9,22,32.6,6.7,3,7.8,37.9,0.8,2.7,28.9,42.8
Delon Wright,NYK,40,22,18,15.9,0.3,0.1,0.6,18.2,0.1,0.4,11.8,22.7
Deni Avdija,POR,72,33,39,30,1.8,0.7,1.5,44.1,0.4,1,40.8,57.2
Dennis Schröder,DET,75,37,38,28.1,3.9,1.7,4.2,39.7,0.5,1.7,32.8,46.2
Dereck Lively II,DAL,36,21,15,23.1,0,0,0,0,-,-,-,0
Derrick Jones Jr.,LAC,77,48,29,24.3,0.2,0.1,0.4,18.2,0,0.2,7.7,19.7
Derrick White,BOS,76,58,18,33.9,4.2,1.6,4.1,38.5,1,3,34.1,51
Desmond Bane,ORL,69,38,31,32,5.7,2.2,5.5,40.8,1.3,3.3,37.8,52.4
Devin Booker,PHX,75,35,40,37.3,10,4.4,10.1,43.4,1.2,4,30.7,49.5
Devin Carter,SAC,36,18,18,11,0.5,0.2,1,19.4,0.1,0.7,16.7,25
Devin Vassell,SAS,64,24,40,31,5.2,2.3,5.4,42.2,0.6,1.7,32.7,47.4
Dillon Brooks,HOU,75,49,26,31.8,3.2,1.4,3.5,40.5,0.4,1.1,33.7,45.8
Dillon Jones,OKC,54,45,9,10.2,0.2,0.1,0.3,22.2,0,0.1,12.5,25
Domantas Sabonis,SAC,70,36,34,34.7,0.3,0.2,0.4,39.3,0,0,100,42.9
Dominick Barlow,ATL,35,13,22,10.7,0.1,0,0.1,20,0,0,-,20
Donovan Clingan,POR,67,29,38,19.8,0,0,0.1,0,0,0,0,0
Donovan Mitchell,CLE,71,55,16,31.4,8.5,3.3,8.8,37.7,1.9,5.5,34.3,48.3
Donte DiVincenzo,MIN,62,37,25,25.9,2.3,0.8,2.2,36.5,0.7,2,36,52.9
Dorian Finney-Smith,LAL,63,36,27,28.9,0.2,0.1,0.3,37.5,0,0.1,37.5,46.9
Doug McDermott,SAC,42,21,21,8.1,0.3,0.1,0.3,38.5,0.1,0.2,37.5,50
Draymond Green,GSW,68,42,26,29.2,0.5,0.2,0.5,40,0.1,0.1,44.4,45.7
Drew Eubanks,LAC,61,25,36,12.2,0.2,0.1,0.2,54.5,0,0,100,59.1
Drew Peterson,BOS,25,17,8,7.4,0.8,0.3,0.5,58.3,0.2,0.4,50,79.2
Drew Timme,BKN,9,3,6,28.2,0.3,0.1,0.8,14.3,0.1,0.3,33.3,21.4
Dru Smith,MIA,14,8,6,19.2,0.4,0.1,0.7,20,0.1,0.4,33.3,30
Duncan Robinson,MIA,74,30,44,24.1,3.2,1.1,2.8,40,1,2.5,40.1,57.8
Duop Reath,POR,46,19,27,10.2,0.1,0,0.1,33.3,0,0,50,50
Dwight Powell,DAL,55,25,30,10,0,0,0,0,0,0,-,0
Dyson Daniels,ATL,76,37,39,33.8,0.9,0.4,1.4,29.8,0.1,0.5,23.1,34.1
E.J. Liddell,CHI,12,6,6,4.4,0,0,0.1,0,0,0.1,0,0
Elfrid Payton,NOP,24,3,21,21.3,1.4,0.7,2.4,29.8,0,0.1,0,29.8
Elijah Harkless,UTA,10,1,9,13.8,0.3,0.1,0.5,20,0.1,0.3,33.3,30
Emanuel Miller,CHI,6,4,2,4.1,0,0,0,-,0,0,-,-
Emoni Bates,CLE,10,9,1,7.5,1.2,0.4,1,40,0.4,0.9,44.4,60
Enrique Freeman,IND,22,7,15,8.2,0,0,0,0,0,0,-,0
Eric Gordon,PHI,39,12,27,19.7,0.6,0.2,0.5,42.9,0.1,0.4,35.7,54.8
Evan Mobley,CLE,71,58,13,30.5,0.8,0.3,1,31.1,0.1,0.5,28.6,37.8
Franz Wagner,ORL,60,33,27,33.7,4.8,2,5.7,35.5,0.7,2.5,29.1,41.9
Fred VanVleet,HOU,60,41,19,35.2,5.8,2.3,6.5,35.4,1.3,4,31.5,45.2
GG Jackson,MEM,29,19,10,15.8,0.6,0.2,0.8,29.2,0.1,0.5,21.4,35.4
Gabe Vincent,LAL,72,46,26,21.2,1.5,0.6,1.6,37.3,0.3,1.1,29.5,47
Garrett Temple,TOR,28,11,17,8.1,0.3,0.1,0.6,25,0,0.2,20,28.1
Garrison Mathews,ATL,47,21,26,17.6,0.8,0.3,1,30.4,0.2,0.8,29.7,42.4
Gary Harris,ORL,48,28,20,14.8,0.4,0.1,0.3,46.7,0.1,0.2,55.6,63.3
Gary Payton II,GSW,62,36,26,15,0.1,0,0.1,33.3,0,0,33.3,41.7
Gary Trent Jr.,MIL,74,44,30,25.6,3.2,1.3,3,42.6,0.6,1.4,42.7,52.5
Georges Niang,ATL,79,55,24,21.5,0.6,0.2,0.6,41.3,0.1,0.3,36.4,50
Giannis Antetokounmpo,MIL,67,40,27,34.2,4.7,2.3,5.5,41.8,0.2,0.6,25.6,43.3
Goga Bitadze,ORL,70,38,32,20.4,0,0,0,0,0,0,0,0
Gradey Dick,TOR,54,15,39,29.4,2.5,1.1,3.1,34.1,0.4,1.4,24.7,39.8
Grant Williams,CHA,16,6,10,29.9,1.4,0.6,1.6,34.6,0.3,0.8,30.8,42.3
Grayson Allen,PHX,64,29,35,24.1,1.2,0.4,1.2,35.5,0.3,0.9,37.9,50
Guerschon Yabusele,PHI,70,23,47,27.1,0.2,0.1,0.3,25,0,0.2,18.2,30
Gui Santos,GSW,56,36,20,13.6,0.1,0,0.2,22.2,0,0.1,16.7,27.8
Harrison Barnes,SAS,82,34,48,27.2,1,0.4,0.9,43.2,0.2,0.6,39.1,55.4
Harrison Ingram,SAS,5,0,5,7,0,0,0,-,0,0,-,-
Haywood Highsmith,MIA,74,35,39,24.6,0.3,0.1,0.3,45.5,0.1,0.2,41.7,56.8
Herbert Jones,NOP,20,5,15,32.4,0.4,0.2,0.7,30.8,0,0.2,0,30.8
Hunter Tyson,DEN,51,30,21,7.8,0.2,0.1,0.3,28.6,0,0.2,12.5,32.1
Immanuel Quickley,TOR,33,12,21,27.8,5.9,2.3,5.6,41.3,1.3,3.4,38.7,53
Isaac Jones,SAC,40,19,21,7.6,0,0,0,0,0,0,-,0
Isaac Okoro,CLE,55,44,11,19.1,0.2,0.1,0.2,23.1,0.1,0.2,27.3,34.6
Isaiah Collier,UTA,71,14,57,25.9,1.2,0.5,2.1,23.6,0.2,1.1,20.5,29.1
Isaiah Crawford,SAC,15,7,8,3,0.3,0.1,0.2,66.7,0.1,0.1,100,83.3
Isaiah Hartenstein,OKC,57,49,8,27.9,0.3,0.2,0.4,40.9,0,0,-,40.9
Isaiah Jackson,IND,5,1,4,16.8,0,0,0,-,-,-,-,-
Isaiah Joe,OKC,74,63,11,21.7,2,0.7,2.3,31.2,0.5,1.7,30.5,42.5
Isaiah Mobley,PHI,1,0,1,17.4,0,0,1,0,0,0,-,0
Isaiah Stevens,MIA,3,3,0,1.8,0,0,0.7,0,0,0.3,0,0
Isaiah Stewart,DET,72,38,34,19.9,0.1,0,0.2,16.7,0,0.1,0,16.7
Isaiah Wong,CHA,20,2,18,13.3,2.4,1,2.5,40,0.4,0.9,38.9,47
Ivica Zubac,LAC,80,50,30,32.8,0.2,0.1,0.1,54.5,-,-,-,54.5
JD Davison,BOS,16,13,3,5.8,0.6,0.3,0.8,30.8,0.1,0.4,33.3,38.5
JT Thor,WAS,20,10,10,12.5,0.4,0.2,0.5,44.4,0,0.1,0,44.4
Ja Morant,MEM,50,30,20,30.4,4.8,2,5.6,35.2,0.8,2.8,28.6,42.3
Ja'Kobe Walter,TOR,52,19,33,21.2,1.3,0.6,1.6,37.8,0.1,0.6,22.6,42.1
Jabari Smith Jr.,HOU,57,40,17,30.1,1.9,0.9,2.4,37.4,0.1,0.6,21.2,39.9
Jabari Walker,POR,60,23,37,12.5,0.1,0,0.1,33.3,0,0,50,41.7
Jack McVeigh,HOU,9,5,4,4.8,0.2,0.1,0.4,25,0,0.2,0,25
Jackson Rowe,GSW,6,4,2,8.6,0.5,0.2,0.3,50,0.2,0.3,50,75
Jacob Toppin,ATL,17,13,4,4.4,0.2,0.1,0.2,66.7,0,0.1,0,66.7
Jaden Hardy,DAL,57,30,27,15.9,2.2,1,2.3,41.7,0.3,0.8,31.9,47.3
Jaden Ivey,DET,30,14,16,29.9,4.4,1.8,4.8,37.5,0.8,2.3,34.8,45.8
Jaden McDaniels,MIN,82,49,33,31.9,2,0.9,2.2,42.2,0.1,0.5,32.4,45.6
Jaden Springer,UTA,43,22,21,8.5,0.3,0.1,0.4,26.3,0,0.2,22.2,31.6
Jae Crowder,SAC,9,3,6,11.4,0,0,0.2,0,0,0.1,0,0
Jae'Sean Tate,HOU,52,38,14,11.3,0,0,0.1,0,0,0.1,0,0
Jahlil Okafor,IND,1,0,1,3.4,0,0,0,-,-,-,-,-
Jahmir Young,CHI,6,4,2,4.9,0,0,0,-,0,0,-,-
Jaime Jaquez Jr.,MIA,66,32,34,20.7,0.4,0.2,0.6,28.6,0.1,0.3,27.8,34.5
Jake LaRavia,SAC,66,40,26,20.4,0.6,0.2,0.7,34.1,0.2,0.4,35.7,45.5
Jakob Poeltl,TOR,57,21,36,29.6,0.2,0.1,0.3,40,0,0,0,40
Jalen Bridges,PHX,8,1,7,3.8,0,0,0.1,0,0,0.1,0,0
Jalen Brunson,NYK,65,40,25,35.4,9.7,4.1,9.3,44,1.5,4.1,37.1,52.2
Jalen Duren,DET,78,43,35,26.1,0.1,0,0.1,60,-,-,-,60
Jalen Green,HOU,82,52,30,32.9,6.6,2.5,7.8,32.7,1.5,4.8,31.6,42.4
Jalen Hood-Schifino,PHI,15,3,12,21,4.1,1.7,4.2,41.3,0.6,2,30,48.4
Jalen Johnson,ATL,36,18,18,35.7,0.9,0.4,1.8,22.2,0.1,0.5,23.5,25.4
Jalen McDaniels,SAC,4,2,2,1.8,0,0,0,-,-,-,-,-
Jalen Pickett,DEN,49,31,18,13.6,1.3,0.5,1.3,40.6,0.3,0.5,58.3,51.6
Jalen Smith,CHI,64,28,36,15,0.2,0.1,0.2,35.7,0,0.1,37.5,46.4
Jalen Suggs,ORL,35,20,15,28.6,4.4,1.8,5.4,33.9,0.7,2.7,26.9,40.5
Jalen Williams,OKC,69,55,14,32.4,6.4,3,6.8,43.5,0.5,1.7,30.4,47.2
Jalen Wilson,BKN,79,25,54,25.7,0.3,0.1,0.6,25,0,0.3,14.3,28.4
Jamal Cain,NOP,37,6,31,13.6,0.7,0.3,0.8,33.3,0.2,0.4,42.9,43.3
Jamal Murray,DEN,67,41,26,36.1,8.4,3.6,8.3,43.6,1.3,3.1,40.2,51.2
Jamal Shead,TOR,75,28,47,19.6,1.3,0.5,1.9,29.3,0.2,0.8,24.2,34.6
Jamaree Bouyea,MIL,5,4,1,12.3,1,0.4,0.6,66.7,0.2,0.4,50,83.3
James Harden,LAC,79,50,29,35.3,8.9,3.3,9.4,35.2,2.3,6.9,33.8,47.6
James Johnson,IND,12,5,7,3.1,0.2,0.1,0.3,25,0,0,-,25
James Wiseman,IND,1,1,0,4.6,0,0,0,-,0,0,-,-
Jamison Battle,TOR,59,21,38,17.7,1.1,0.4,1,43.9,0.2,0.6,41.2,56.1
Jarace Walker,IND,75,45,30,15.8,1.5,0.6,1.4,42.5,0.3,0.8,40.7,53.8
Jared Butler,PHI,60,6,54,17.4,2.5,1.1,2.6,41,0.4,1.2,31.4,48.1
Jared McCain,PHI,23,7,16,25.7,4.1,1.7,4.3,40.4,0.7,2.2,29.4,48
Jared Rhoden,TOR,14,8,6,16.2,0.6,0.2,0.7,30,0.2,0.4,50,45
Jaren Jackson Jr.,MEM,74,42,32,29.8,3.1,1.4,3,48.2,0.2,0.8,28.8,52
Jarred Vanderbilt,LAL,36,25,11,16.1,0,0,0,0,0,0,-,0
Jarrett Allen,CLE,82,64,18,28,0,0,0.1,0,0,0,-,0
Javonte Green,CLE,68,24,44,18.5,0.1,0,0.2,16.7,0,0,33.3,20.8
Jaxson Hayes,LAL,56,38,18,19.5,0,0,0,0,0,0,-,0
Jay Huff,MEM,64,37,27,11.7,0.3,0.1,0.2,60,0.1,0.1,66.7,80
Jaylen Brown,BOS,63,46,17,34.3,5.4,2.3,6.5,35.9,0.8,2.7,29.2,42
Jaylen Clark,MIN,40,28,12,13,0.1,0.1,0.2,25,0,0.1,0,25
Jaylen Martin,WAS,16,3,13,14.9,0.5,0.2,0.8,23.1,0.1,0.2,66.7,30.8
Jaylen Nowell,WAS,8,1,7,21,1.3,0.6,3.1,20,0,0.9,0,20
Jaylen Sims,CHA,6,0,6,18.6,1.3,0.5,1.3,37.5,0.3,0.7,50,50
Jaylen Wells,MEM,79,47,32,25.9,1.4,0.6,1.4,40.2,0.3,0.7,37,49.1
Jaylin Williams,OKC,47,40,7,16.7,0.2,0.1,0.2,44.4,0,0,100,50
Jaylon Tyson,CLE,47,37,10,9.6,0.3,0.1,0.3,40,0.1,0.1,60,50
Jayson Tatum,BOS,72,53,19,36.4,9.7,3.7,10.4,35.2,2.4,7.2,32.9,46.6
Jazian Gortman,DAL,16,8,8,3.5,0.6,0.3,0.4,57.1,0.1,0.2,66.7,71.4
Jeff Dowtin Jr.,PHI,41,10,31,15.1,3,1.3,2.6,48.1,0.4,1,41.5,56
Jeff Green,HOU,32,20,12,12.4,0.8,0.4,0.7,57.1,0,0.2,16.7,59.5
Jerami Grant,POR,47,22,25,32.4,1.2,0.6,1.8,31.4,0.1,0.3,26.7,33.7
Jeremiah Robinson-Earl,NOP,66,17,49,18.8,0.4,0.2,0.6,35.1,0,0.2,0,35.1
Jeremy Sochan,SAS,54,21,33,25.3,0.1,0.1,0.4,15,0,0.1,16.7,17.5
Jericho Sims,MIL,53,34,19,11.9,0,0,0,0,-,-,-,0
Jesse Edwards,MIN,2,2,0,2.3,0,0,0,-,-,-,-,-
Jett Howard,ORL,60,29,31,11.7,0.9,0.4,1.1,32.8,0.2,0.7,22,39.6
Jevon Carter,CHI,36,13,23,8.9,1.8,0.7,1.9,35.3,0.4,1.5,30.2,47.1
Jimmy Butler III,GSW,55,36,19,31.7,1.6,0.7,2.1,35.7,0.1,0.4,33.3,38.7
Jock Landale,HOU,42,26,16,11.9,0.3,0.1,0.3,45.5,0,0.1,50,54.5
Joe Ingles,MIN,19,12,7,6,0.2,0.1,0.5,11.1,0.1,0.4,14.3,16.7
Joel Embiid,PHI,19,8,11,30.2,4.2,2.1,5.3,39,0.1,0.5,11.1,39.5
John Collins,UTA,40,12,28,30.5,1.2,0.6,1.2,46.9,0.1,0.2,42.9,50
John Konchar,MEM,46,26,20,12.1,0,0,0.1,20,0,0,0,20
