PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
A.J. Lawson,TOR,26,14,12,18.7,0.5,0.2,0.4,40,0.2,0.3,50,60
AJ Green,MIL,73,44,29,22.7,1.8,0.7,1.8,38.5,0.4,1.2,36,50.8
AJ Johnson,WAS,29,8,21,22,1,0.3,1.4,23.8,0.3,1.3,25.6,35.7
Aaron Gordon,DEN,51,33,18,28.4,2,0.8,2,40.2,0.4,1,38,49.5
Aaron Holiday,HOU,62,39,23,12.8,1.2,0.5,1.2,38.2,0.2,0.7,33.3,48
Aaron Nesmith,IND,45,29,16,24.9,1.4,0.6,1.6,38.6,0.2,0.7,34.4,46.4
Aaron Wiggins,OKC,76,62,14,22.9,1.4,0.6,1.5,37.5,0.3,0.8,35.6,46.9
Adam Flagler,OKC,37,34,3,5.5,0.8,0.3,0.9,34.3,0.1,0.6,22.7,41.4
Adama Sanogo,CHI,4,2,2,5.4,0,0,0,-,-,-,-,-
Adem Bona,PHI,58,12,46,15.6,0,0,0,-,0,0,-,-
Ajay Mitchell,OKC,36,31,5,16.6,0.7,0.3,0.8,42.9,0.1,0.2,25,46.4
Al Horford,BOS,60,44,16,27.6,0.1,0.1,0.1,37.5,0,0,50,43.8
Alec Burks,MIA,49,26,23,17.6,1.6,0.6,1.3,46.2,0.3,0.8,42.5,59.2
Alex Caruso,OKC,54,44,10,19.3,0.5,0.2,0.7,27.8,0.1,0.4,22.7,34.7
Alex Ducas,OKC,21,20,1,6,0.1,0,0.1,50,0,0,-,50
Alex Len,LAL,46,21,25,8.3,0.1,0,0,100,0,0,100,125
Alex Reese,PHI,15,4,11,14.4,0,0,0.1,0,0,0.1,0,0
Alex Sarr,WAS,67,13,54,27.1,0.8,0.4,1.2,32.5,0,0.2,23.1,34.4
Alondes Williams,LAC,1,0,1,3.7,0,0,0,-,0,0,-,-
Alperen Sengun,HOU,76,52,24,31.5,1.2,0.6,1.5,37.6,0,0.1,0,37.6
