PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Donovan Mitchell,CLE,68,44,24,35.8,10.4,4.1,9.6,42.8,2.2,5.7,39.2,54.4
Donovan Williams,ATL,2,1,1,2.1,0,0,0.5,0,0,0.5,0,0
Donte DiVincenzo,GSW,72,42,30,26.3,0.6,0.2,1,23.6,0.2,0.7,22.6,31.9
Dru Smith,BKN,15,7,8,10.6,0.7,0.3,1,33.3,0,0.3,0,33.3
Duane Washington Jr.,NYK,31,17,14,12.7,3.4,1.4,3.5,39.3,0.6,1.5,43.5,48.6
Dylan Windler,CLE,3,3,0,3.5,0,0,0,-,0,0,-,-
Dyson Daniels,NOP,59,33,26,17.7,0.3,0.1,0.5,27.6,0.1,0.3,20,32.8
Edmond Sumner,BKN,53,33,20,13.9,0.6,0.3,0.7,38.9,0.1,0.2,30.8,44.4
Eric Gordon,LAC,69,25,44,28.5,1.7,0.6,1.7,36.2,0.5,1.3,38.6,50.9
Evan Fournier,NYK,27,15,12,17,2.2,0.9,2.8,30.3,0.5,1.8,26.5,38.8
Facundo Campazzo,DAL,8,2,6,6.5,0.4,0.1,0.6,20,0.1,0.6,20,30
Frank Jackson,PHX,1,0,1,5,0,0,1,0,0,0,-,0
Frank Ntilikina,DAL,47,20,27,12.9,0.7,0.3,0.6,46.7,0.1,0.2,27.3,51.7
Fred VanVleet,TOR,69,34,35,36.7,7.2,2.9,7.5,38.3,1.5,4.4,33.6,48.3
Furkan Korkmaz,PHI,37,24,13,9.6,0.8,0.3,0.9,37.5,0.1,0.4,38.5,45.3
Gabe Vincent,MIA,68,37,31,25.9,3.2,1.3,3.1,41.6,0.6,1.8,32.5,50.9
Gabe York,IND,3,1,2,18.6,0,0,1.3,0,0,1.3,0,0
Garrett Temple,NOP,25,16,9,6.5,0.2,0.1,0.3,25,0.1,0.2,40,37.5
Garrison Mathews,ATL,54,16,38,12.7,0.6,0.2,0.6,35.3,0.2,0.6,35.5,51.5
Gary Harris,ORL,48,22,26,24.7,1.1,0.4,1,40.4,0.3,0.6,45.2,55.3
Gary Payton II,GSW,22,13,9,16.7,0,0,0,-,0,0,-,-
Gary Trent Jr.,TOR,66,31,35,32.1,5.3,2.3,5.9,39,0.7,2.2,29.9,44.5
George Hill,IND,46,27,19,18.1,0.9,0.4,0.9,40.5,0.1,0.5,26.1,47.6
Goran Dragic,MIL,58,27,31,15,1.7,0.8,2.2,35.4,0.1,0.7,17.5,38.1
Grayson Allen,MIL,72,53,19,27.4,1.6,0.6,1.7,33.1,0.5,1.3,36.2,47.1
Hamidou Diallo,DET,56,12,44,17.8,1.1,0.5,1.2,42,0,0.1,50,43.5
Immanuel Quickley,NYK,81,47,34,28.9,4.6,1.8,4.8,38,0.9,2.5,34.5,47.1
Isaac Okoro,CLE,76,48,28,21.7,0.1,0,0.1,33.3,0,0.1,42.9,50
Isaiah Joe,OKC,73,36,37,19.1,2.1,0.8,2,43.1,0.4,1.2,34.5,53.1
Ish Smith,DEN,43,25,18,9.3,1.4,0.7,2,35.2,0,0.1,0,35.2
JD Davison,BOS,12,11,1,5.5,0.3,0.2,0.6,28.6,0,0.1,0,28.6
Ja Morant,MEM,61,40,21,31.9,6.4,2.7,7.1,38.5,0.9,3.1,29.8,45.1
Jacob Gilyard,MEM,1,0,1,40.8,0,0,1,0,0,1,0,0
Jaden Hardy,DAL,48,20,28,14.8,2,0.8,2.1,37.4,0.5,1.2,38.6,48.5
Jaden Ivey,DET,74,16,58,31.1,4.4,1.9,5.1,36.3,0.7,2.3,30.5,43.1
Jaden Springer,PHI,16,13,3,5.6,0.4,0.2,0.6,33.3,0.1,0.1,100,38.9
Jalen Brunson,NYK,68,40,28,35,8.5,3.7,8.3,44.7,1.1,2.8,38,51.2
Jalen Green,HOU,76,20,56,34.2,6.6,2.6,7.3,36.4,1.3,4,32.7,45.4
Jalen Suggs,ORL,53,20,33,23.5,2.5,1,2.9,34,0.5,1.7,30.3,42.6
Jalen Williams,OKC,75,36,39,30.3,1.7,0.8,2,39.5,0.1,0.4,33.3,43.2
Jamal Murray,DEN,65,43,22,32.8,8.3,3.4,8.5,40.1,1.5,3.8,39.3,48.8
Jamaree Bouyea,MIA,5,2,3,14.1,0.6,0.2,0.8,25,0.2,0.6,33.3,37.5
James Bouknight,CHA,34,9,25,15.2,1.7,0.7,2.1,32.4,0.4,1.3,27.3,40.8
James Harden,PHI,58,39,19,36.8,8,3,7.6,39.5,2,5.3,37.6,52.5
Jared Butler,OKC,6,3,3,12.8,1.3,0.5,1.3,37.5,0.3,0.8,40,50
Jared Rhoden,DET,14,2,12,14.1,0.3,0.1,0.4,33.3,0,0.1,0,33.3
Jarrett Culver,ATL,10,5,5,13.7,0.6,0.3,0.8,37.5,0,0.2,0,37.5
Jason Preston,LAC,14,4,10,8.8,0.9,0.4,1.1,37.5,0.1,0.3,25,40.6
Javonte Green,CHI,32,13,19,15,0.2,0.1,0.2,40,0,0,100,50
Jay Scrubb,ORL,2,1,1,15.1,1.5,0.5,0.5,100,0.5,0.5,100,150
Jaylen Brown,BOS,67,46,21,35.9,6,2.6,6.4,40.3,0.8,2.6,31.8,46.7
Jaylen Nowell,MIN,65,34,31,19.3,3,1.3,3,43.1,0.4,1.4,30.4,50.3
Jayson Tatum,BOS,74,52,22,36.9,5.5,2.1,6.9,30.2,1.4,4.8,29.1,40.4
Jeff Dowtin Jr.,TOR,25,17,8,10.3,0.7,0.3,0.9,34.8,0,0.1,33.3,37
Jevon Carter,MIL,81,57,24,22.4,3.4,1.4,3.3,41.6,0.7,1.7,39.3,51.5
Joe Harris,BKN,74,40,34,20.6,0.9,0.3,0.8,40,0.2,0.6,42.9,55
Joe Ingles,MIL,46,32,14,22.7,2.1,0.7,1.5,47.9,0.7,1.4,46.9,69
Joe Wieskamp,TOR,9,6,3,5.5,0,0,0.1,0,0,0.1,0,0
John Konchar,MEM,72,45,27,20.7,0.3,0.1,0.3,36,0.1,0.3,36.8,50
John Wall,LAC,34,15,19,22.2,1.7,0.8,3.1,26.7,0,0.6,5,27.1
Johnny Davis,WAS,28,10,18,15.1,1.5,0.7,2.1,33.3,0,0.5,7.7,34.2
Johnny Juzang,UTA,18,6,12,12.9,1.7,0.7,1.8,40.6,0.2,0.7,30.8,46.9
Jordan Clarkson,UTA,61,30,31,32.6,5.9,2.4,6,39.7,1.2,3.5,34.3,49.7
Jordan Goodwin,WAS,62,22,40,17.8,1.6,0.7,1.9,39,0.2,0.6,26.3,43.2
Jordan Hall,SAS,9,1,8,9.2,1.1,0.4,1,44.4,0.2,0.3,66.7,55.6
Jordan McLaughlin,MIN,43,22,21,15.8,0.7,0.3,0.8,36.4,0.2,0.5,30.4,47
Jordan Poole,GSW,82,44,38,30,5,2,5.8,34,1,3.5,30.3,43.1
Jordan Schakel,WAS,2,0,2,3.1,1.5,0.5,0.5,100,0.5,0.5,100,150
Jose Alvarado,NOP,61,30,31,21.5,1,0.4,1.2,32.9,0.2,0.5,32.3,39.7
Josh Christopher,HOU,64,16,48,12.3,1.6,0.7,1.8,40.7,0.2,0.6,27,45.1
Josh Giddey,OKC,76,34,42,31.1,2,1,2.4,40.3,0.1,0.3,17.4,41.4
Josh Green,DAL,60,27,33,25.7,0.5,0.2,0.5,41.9,0,0.1,25,45.2
Josh Hart,NYK,76,42,34,32.3,0.5,0.3,0.8,29.7,0,0.2,6.7,30.5
Josh Okogie,PHX,72,38,34,18.8,0.6,0.2,0.9,26.6,0.1,0.4,29,33.6
Josh Richardson,NOP,65,24,41,23.5,2.7,1.3,2.9,43.4,0.2,0.5,33.3,46.3
Joshua Primo,SAS,4,3,1,23.3,2.3,1,2.3,44.4,0.3,0.8,33.3,50
Jrue Holiday,MIL,67,50,17,32.6,7.4,2.9,7.3,40.1,1.5,4.3,36.1,50.7
Justin Champagnie,BOS,5,4,1,6.9,0.6,0.2,0.2,100,0.2,0.2,100,150
Justin Holiday,DAL,46,18,28,15.4,0.8,0.3,1.1,28.6,0.2,0.5,29.2,35.7
Justise Winslow,POR,29,15,14,26.8,0.6,0.3,1,32.1,0,0,0,32.1
KZ Okpala,SAC,35,19,16,7.1,0.1,0,0.1,50,0,0,-,50
Keldon Johnson,SAS,63,17,46,32.8,2,0.8,2.9,29.3,0.3,1.3,26.6,35.1
Kelly Oubre Jr.,CHA,48,16,32,32.2,3.5,1.5,3.8,39.6,0.5,1.5,30.6,45.6
Kemba Walker,DAL,9,5,4,16,3.7,1.4,3.4,41.9,0.8,2.3,33.3,53.2
Kendall Brown,IND,6,1,5,6.7,0.3,0.2,0.2,100,0,0,-,100
Kendrick Nunn,WAS,70,30,40,13.8,2.5,1,2.5,39.8,0.5,1.3,38.6,49.4
Kennedy Chandler,MEM,36,22,14,7.8,0.4,0.2,0.5,44.4,0,0.1,0,44.4
Kenrich Williams,OKC,53,26,27,22.8,1,0.5,1.2,39.1,0.1,0.3,28.6,42.2
Kentavious Caldwell-Pope,DEN,76,51,25,31.3,2.1,1,2.3,41,0.2,0.7,32,45.5
Keon Ellis,SAC,16,7,9,4.4,0.6,0.2,0.4,42.9,0.2,0.3,60,64.3
Keon Johnson,POR,40,13,27,10.4,1.3,0.5,1.5,31.1,0.3,0.8,40.6,41.8
Kevin Huerter,SAC,75,44,31,29.4,3.9,1.5,3.5,42.6,0.9,2.1,41.6,55.3
Kevin Porter Jr.,HOU,59,18,41,34.3,7.1,2.8,7.3,38.6,1.5,4.4,33.7,48.8
Kevon Harris,ORL,34,12,22,13.4,0.2,0.1,0.5,18.8,0.1,0.3,18.2,25
Killian Hayes,DET,76,16,60,28.3,4.4,2.1,5.5,37.7,0.3,1.2,24.4,40.3
Kira Lewis Jr.,NOP,25,11,14,9.4,0.9,0.4,0.8,47.6,0.1,0.2,50,54.8
Klay Thompson,GSW,69,38,31,33,6,2.5,6.2,39.7,1.1,2.7,40,48.4
Kobi Simmons,CHA,5,1,4,5.6,0.6,0.2,0.6,33.3,0.2,0.6,33.3,50
Kris Dunn,UTA,22,8,14,25.8,1.2,0.5,1,52.4,0.2,0.3,57.1,61.9
Kyle Anderson,MIN,69,36,33,28.4,1,0.4,1.1,41.9,0.1,0.2,41.2,46.6
Kyle Lowry,MIA,55,30,25,31.2,3,1.2,3,39.2,0.7,1.9,34.6,50.3
Kyrie Irving,DAL,60,32,28,37.3,10.2,4.3,9.3,46.1,1.7,4.4,37.7,55.1
LaMelo Ball,CHA,36,13,23,35.2,7.8,3,8.2,36.7,1.8,5.1,34.8,47.6
Landry Shamet,PHX,40,19,21,20.2,2,0.7,2.5,28.7,0.5,1.6,31.7,38.6
Lester Quinones,GSW,4,4,0,4.5,0.8,0.3,0.5,50,0.3,0.5,50,75
Lindell Wigginton,MIL,7,4,3,12.4,0.6,0.3,1.1,25,0,0.7,0,25
Lonnie Walker IV,LAL,56,27,29,23.2,1.8,0.8,2.2,35.2,0.2,0.8,28.3,40.6
Luguentz Dort,OKC,74,36,38,30.7,1.4,0.6,1.6,35.3,0.3,0.9,31.8,44.4
Luka Dončić,DAL,66,33,33,36.2,11.5,4.6,11.6,39.4,2.4,7,34.4,49.7
Luke Kennard,MEM,59,37,22,22.3,2,0.8,1.9,42.5,0.4,0.9,37.5,51.8
Mac McClung,PHI,2,2,0,20.5,1.5,0.5,1.5,33.3,0.5,1,50,50
Malachi Flynn,TOR,53,29,24,13,1.3,0.5,1.7,30,0.2,0.8,31.7,37.2
Malcolm Brogdon,BOS,67,46,21,26,4.4,1.7,3.9,45.2,0.9,2,44.8,56.8
Malik Beasley,LAL,81,45,36,25.8,3.4,1.3,3.6,37.2,0.8,2.1,36.1,47.7
Malik Monk,SAC,77,47,30,22.3,2.6,1,2.8,36.3,0.6,1.8,32.4,46.7
Marcus Smart,BOS,61,43,18,32.1,1.4,0.6,1.8,31.8,0.3,1.1,29.4,41.1
Markelle Fultz,ORL,60,29,31,29.6,3.3,1.6,3.6,44.2,0.1,0.3,38.9,45.8
Matisse Thybulle,POR,71,38,33,16.9,0.2,0.1,0.2,42.9,0.1,0.2,45.5,60.7
Matthew Dellavedova,SAC,32,19,13,6.6,0.3,0.1,0.4,28.6,0.1,0.2,40,35.7
Max Christie,LAL,41,19,22,12.5,0.5,0.2,0.5,47.6,0,0.1,66.7,52.4
Max Strus,MIA,80,42,38,28.4,1.2,0.4,1.4,31.5,0.3,1.1,29.8,42.8
McKinley Wright IV,DAL,27,14,13,12.4,0.9,0.4,1.1,36.7,0.1,0.4,20,40
Michael Carter-Williams,ORL,4,1,3,11.1,0,0,0.3,0,0,0,-,0
Mikal Bridges,BKN,27,12,15,34.2,9.1,4.2,8.8,48.1,0.7,1.8,37.5,51.9
Mike Conley,MIN,67,34,33,30.3,3.9,1.5,4.2,35.7,1,2.9,33.2,47.1
Miles McBride,NYK,64,36,28,11.9,0.5,0.2,0.9,23.2,0.1,0.4,18.5,27.7
Monté Morris,WAS,62,28,34,27.4,3.7,1.6,3.6,46.2,0.4,1.1,36.2,51.8
Moses Moody,GSW,63,37,26,13,0.4,0.2,0.4,43.5,0.1,0.2,33.3,52.2
Nassir Little,POR,54,22,32,18.1,1.6,0.7,1.6,41.4,0.3,0.7,38.9,49.4
Nate Williams,POR,5,1,4,25.3,0,0,0,-,0,0,-,-
Nickeil Alexander-Walker,MIN,59,29,30,15,1.5,0.6,1.4,42.2,0.3,0.8,40.8,54.2
Nicolas Batum,LAC,78,44,34,21.9,0.3,0.1,0.2,47.1,0.1,0.2,58.3,67.6
Norman Powell,LAC,60,31,29,26.1,3,1.2,3.2,38.9,0.5,1.5,33.7,46.8
Ochai Agbaji,UTA,59,29,30,20.5,0.6,0.3,0.9,28.8,0.1,0.6,23.5,36.5
Oshae Brissett,IND,65,27,38,16.7,0.2,0.1,0.3,21.1,0,0.2,30,28.9
PJ Dozier,SAC,16,11,5,5,0.6,0.3,0.9,28.6,0.1,0.3,20,32.1
Pat Connaughton,MIL,61,43,18,23.7,0.4,0.1,0.3,50,0.1,0.2,46.7,69.4
Patrick Beverley,CHI,67,34,33,27.1,0.9,0.3,0.8,41.1,0.2,0.6,32.4,51.8
Patty Mills,BKN,40,18,22,14.2,1.9,0.8,1.9,41.6,0.3,0.7,41.4,49.4
Payton Pritchard,BOS,48,32,16,13.4,1.4,0.5,1.5,33.8,0.4,1.1,32.7,45.8
Peyton Watson,DEN,23,13,10,8.1,0.1,0,0.3,16.7,0,0,0,16.7
Quentin Grimes,NYK,71,41,30,29.9,0.8,0.3,1,26,0.2,0.8,29.1,37
Quenton Jackson,WAS,9,3,6,15,0.7,0.3,0.7,50,0,0.2,0,50
R.J. Hampton,DET,47,9,38,15.9,0.9,0.4,1.1,32.7,0.1,0.5,28,39.4
RJ Barrett,NYK,73,40,33,33.9,1.2,0.5,2.2,24.8,0.1,0.7,19.6,28
Raul Neto,CLE,48,31,17,10.5,0.6,0.3,0.5,56.5,0,0.2,22.2,60.9
Reggie Bullock Jr.,DAL,78,37,41,30.3,0.3,0.1,0.5,25,0,0.3,15,28.8
Reggie Jackson,DEN,68,36,32,24.4,2.6,1.2,3.3,35.9,0.3,1.2,22,39.9
Ricky Rubio,CLE,33,23,10,17.2,2.2,1,2.4,41.3,0.2,0.7,20.8,44.4
Rodney McGruder,DET,32,4,28,16.4,0.9,0.3,0.8,44,0.3,0.4,57.1,60
Romeo Langford,SAS,43,14,29,19.6,0.9,0.5,1,46.5,0,0.1,0,46.5
Rudy Gay,UTA,56,29,27,14.6,1.5,0.7,1.7,40.9,0.1,0.3,31.6,44.1
Russell Westbrook,LAC,73,36,37,29.1,3,1.3,3.8,35.1,0.4,1.3,29.2,40.2
Ryan Arcidiacono,NYK,20,9,11,8.6,0.2,0.1,0.6,8.3,0.1,0.3,20,12.5
Ryan Rollins,GSW,12,5,7,5.2,0,0,0.2,0,0,0.1,0,0
Saben Lee,PHX,25,15,10,14.9,0.6,0.2,1,25,0.1,0.4,27.3,31.3
Sam Merrill,CLE,5,4,1,11.7,2.2,0.8,1.6,50,0.6,1.4,42.9,68.8
Scotty Pippen Jr.,LAL,6,1,5,5.3,0.5,0.2,0.8,20,0.2,0.3,50,30
Seth Curry,BKN,61,37,24,19.8,3.9,1.7,3.5,49.1,0.5,1.1,41.2,55.6
Shaedon Sharpe,POR,80,32,48,22.2,2.3,0.9,2.9,32.3,0.4,1.6,25,39.2
Shai Gilgeous-Alexander,OKC,68,33,35,35.5,8.9,4.2,9,46.2,0.6,1.7,35.6,49.7
Shake Milton,PHI,76,52,24,20.6,1.3,0.6,1.7,34.9,0.1,0.4,30.3,38.8
Shaquille Harrison,LAL,5,1,4,24,1,0.4,1.6,25,0.2,0.6,33.3,31.3
Skylar Mays,POR,6,1,5,31.5,5.5,2.3,4,58.3,0.8,1.2,71.4,68.8
Spencer Dinwiddie,BKN,79,41,38,34.5,5.2,2,5.5,36,1.2,3.5,33.5,46.7
Stanley Johnson,UTA,30,5,25,15.6,0.7,0.3,0.7,45.5,0.1,0.2,40,50
Stanley Umude,DET,1,0,1,2.1,0,0,0,-,0,0,-,-
Stephen Curry,GSW,56,30,26,34.7,10.7,4,8.8,45.4,2.7,6,45.1,60.9
Sterling Brown,LAL,4,2,2,6.1,0,0,0,-,0,0,-,-
Svi Mykhailiuk,CHA,32,16,16,14.6,2,0.8,2,37.5,0.5,1.3,40.5,50.8
T.J. McConnell,IND,75,31,44,20.4,2.3,1.1,2,55.3,0.1,0.2,62.5,58.7
Talen Horton-Tucker,UTA,65,30,35,20.2,2.3,1,2.8,34.1,0.4,1.4,28,41.2
Terance Mann,LAC,81,44,37,23.1,1.4,0.6,1.4,40.7,0.2,0.7,37,49.6
Terence Davis,SAC,64,38,26,13.1,1.4,0.5,1.3,37.2,0.4,1,39.1,51.7
Terrence Ross,PHX,63,27,36,21.1,2.7,1.3,2.8,44.9,0.2,0.8,27.1,48.6
Terry Rozier,CHA,63,19,44,35.3,7.5,3.1,8.3,37.3,1.4,4.3,31.4,45.6
Theo Maledon,CHA,44,14,30,19.4,1.5,0.6,1.9,32.9,0.2,0.9,20,37.6
Theo Pinson,DAL,40,19,21,8.1,0.4,0.1,0.3,45.5,0.1,0.2,44.4,63.6
Tim Hardaway Jr.,DAL,71,37,34,30.3,3.2,1.3,3.5,36.7,0.6,1.7,35.8,45.7
Trae Young,ATL,73,38,35,34.8,9.5,3.9,10.1,38.7,1.6,5,32.7,46.8
Tre Jones,SAS,68,20,48,29.2,3.1,1.5,3.9,39.1,0.1,0.5,18.8,40.2
Tre Mann,OKC,67,31,36,17.7,3.2,1.3,3.5,35.9,0.7,2.3,30.5,45.7
Trent Forrest,ATL,23,9,14,12,0.6,0.3,0.6,50,0,0,0,50
Trevelin Queen,PHI,7,2,5,10,0.4,0.1,1.6,9.1,0.1,1.4,10,13.6
Trevor Hudgins,HOU,5,0,5,5.7,0,0,1,0,0,1,0,0
Trevor Keels,NYK,3,3,0,2.7,0,0,0,-,0,0,-,-
Troy Brown Jr.,LAL,76,40,36,24.5,0.7,0.3,0.9,32.8,0.1,0.4,31.3,40.3
Ty Jerome,GSW,45,22,23,18.1,1.9,0.8,1.8,44.6,0.2,0.6,40.7,51.2
TyTy Washington Jr.,HOU,31,6,25,14,1.8,0.8,2.4,35.1,0.2,0.7,21.7,38.5
Tyler Dorsey,DAL,3,2,1,2.8,2,1,1,100,0,0,-,100
Tyler Herro,MIA,67,37,30,34.9,7.8,3.2,8,39.3,1.4,3.9,36.9,48.2
Tyrese Haliburton,IND,56,28,28,33.6,8.4,3.1,7.4,41.7,2.2,5.5,39.7,56.4
Tyrese Martin,ATL,16,10,6,4.1,0.4,0.2,0.3,60,0.1,0.1,100,70
Tyrese Maxey,PHI,60,39,21,33.6,5.7,2.3,5.6,41.7,1,2.6,38.7,50.6
Tyus Jones,MEM,80,51,29,24.2,3.9,1.8,3.9,44.4,0.4,1.2,36.5,50
Victor Oladipo,MIA,42,23,19,26.3,3.9,1.5,3.8,40.4,0.8,2.1,37.1,50.6
Vince Williams Jr.,MEM,15,7,8,7,0,0,0.1,0,0,0.1,0,0
Vít Krejčí,ATL,29,15,14,5.7,0.3,0.1,0.2,42.9,0.1,0.2,40,57.1
Wendell Moore Jr.,MIN,29,16,13,5.3,0.1,0,0.2,20,0,0.1,50,30
Wesley Matthews,MIL,52,37,15,15.8,0.3,0.1,0.4,27.3,0.1,0.3,26.7,36.4
Will Barton,TOR,56,27,29,17.7,2,0.8,2.4,32.8,0.4,1.4,31.6,41.6
