PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
A.J. Lawson,DAL,15,5,10,7.2,0,0,0.2,0,0,0.1,0,0
AJ Green,MIL,35,27,8,9.9,1,0.4,1,38.9,0.2,0.7,34.8,50
Aaron Holiday,ATL,63,32,31,13.4,1,0.4,1.1,38,0.1,0.4,34.6,44.4
Aaron Nesmith,IND,73,30,43,24.9,1.3,0.5,1.2,43.5,0.3,0.6,44.2,54.7
Aaron Wiggins,OKC,70,37,33,18.5,0.2,0.1,0.2,35.3,0.1,0.1,50,47.1
Alec Burks,DET,51,12,39,22,4.8,2,4.6,42.6,0.9,2.2,39.6,51.9
Alex Caruso,CHI,67,33,34,23.5,0.2,0.1,0.4,20.7,0,0.2,23.1,25.9
Alondes Williams,BKN,1,1,0,5.3,0,0,0,-,-,-,-,-
Amir Coffey,LAC,50,26,24,12.5,0.4,0.2,0.7,28.6,0,0.1,16.7,30
Andre Iguodala,GSW,8,3,5,14.1,0,0,0.1,0,0,0.1,0,0
Andrew Nembhard,IND,75,32,43,27.6,2.4,1.1,2.9,35.9,0.3,0.9,28.8,40.2
Anfernee Simons,POR,62,27,35,35,7.3,2.9,7.4,39.5,1.5,4.1,35.5,49.3
Anthony Edwards,MIN,79,40,39,36,7.1,2.8,7.9,35.1,1.5,4.6,33.8,44.8
Austin Reaves,LAL,64,35,29,28.8,2.7,1.2,2.5,47.2,0.3,0.8,40,53.5
Austin Rivers,MIN,52,25,27,19.5,0.2,0.1,0.4,14.3,0.1,0.3,18.8,21.4
Ayo Dosunmu,CHI,80,40,40,26.2,0.7,0.4,0.9,37.3,0,0.1,40,38.7
Ben Simmons,BKN,42,24,18,26.3,0.2,0.1,0.4,23.5,0,0,0,23.5
Bennedict Mathurin,IND,78,33,45,28.5,2.7,1.1,3,34.9,0.6,1.6,34.9,44.3
Blake Wesley,SAS,37,9,28,18.1,0.7,0.3,1.6,18.3,0.1,0.2,37.5,20.8
Bogdan Bogdanović,ATL,54,27,27,27.9,3.9,1.6,3.8,41.1,0.8,1.8,43.2,51
Bones Hyland,LAC,56,36,20,19.4,3.9,1.5,4.1,35.7,1,2.8,36.4,47.8
Bradley Beal,WAS,50,24,26,33.5,7.2,3.2,7.3,44.2,0.7,2.2,33,49.2
Brandon Boston,LAC,22,9,13,11.3,2.1,0.9,2.3,39.2,0.3,0.7,46.7,46.1
Bruce Brown,DEN,80,53,27,28.5,1.2,0.6,1.6,34.4,0.1,0.4,25,37.5
Bryce McGowens,CHA,46,16,30,17.1,0.4,0.2,0.7,25,0.1,0.3,30.8,31.3
Bryn Forbes,MIN,25,9,16,10.7,1.1,0.5,1.3,37.5,0.2,0.6,28.6,43.8
Buddy Hield,IND,80,35,45,31,4.4,1.7,3.8,43.1,1.1,2.4,43.8,57
CJ McCollum,NOP,75,38,37,35.3,7.9,3.5,8.2,41.9,1,2.9,35.6,48.2
Cade Cunningham,DET,12,3,9,33.3,8,3.7,8.8,41.5,0.7,2.8,24.2,45.3
Caleb Houstan,ORL,51,20,31,15.9,0.2,0.1,0.2,40,0.1,0.1,50,55
Cam Reddish,POR,40,14,26,24.7,1.2,0.5,1.4,32.7,0.3,0.8,32.3,41.8
Cam Thomas,BKN,57,30,27,16.6,3.8,1.6,4.3,37.8,0.6,1.5,36.8,44.3
Cameron Payne,PHX,48,27,21,20.2,3.7,1.5,3.7,41.3,0.6,1.5,42.5,50
Caris LeVert,CLE,74,45,29,30.2,2.9,1.1,3.2,35.6,0.6,1.5,38.9,44.9
Carlik Jones,CHI,7,4,3,8,0.6,0.3,0.7,40,0,0.1,0,40
Chris Duarte,IND,46,19,27,19.5,2.2,0.9,3,29.7,0.4,1.5,28.2,37
Chris Paul,PHX,59,33,26,32,7.9,3.5,8.3,42.6,0.9,2.9,30.2,47.8
Christian Braun,DEN,76,49,27,15.5,0.3,0.1,0.4,27.3,0.1,0.2,40,36.4
Coby White,CHI,74,37,37,23.4,1.5,0.6,1.8,35.8,0.2,0.8,27.6,41.8
Cole Anthony,ORL,60,28,32,25.9,3.8,1.7,3.8,45.4,0.4,1,38.6,50.2
Collin Sexton,UTA,48,24,24,23.9,2.5,1,2.2,47.1,0.4,0.9,46.5,56.7
Cory Joseph,DET,62,12,50,19.8,2,0.8,2.2,36.8,0.3,1,33.3,44.5
D'Angelo Russell,LAL,71,39,32,32.5,6.3,2.6,6.1,42.8,1.2,3,38.3,52.3
Daishen Nix,HOU,57,15,42,16,0.9,0.3,0.9,34,0.3,0.8,34,49.1
Damian Lillard,POR,58,27,31,36.3,10.6,3.9,9.7,40.5,2.7,7.4,37.2,54.6
Damion Lee,PHX,74,40,34,20.4,0.8,0.4,1.3,31.2,0,0.2,12.5,32.3
Danny Green,CLE,11,6,5,12.6,1.1,0.5,1,45.5,0.2,0.6,28.6,54.5
Danuel House Jr.,PHI,56,38,18,14.4,1,0.4,0.9,42.3,0.2,0.7,35.1,54.8
Darius Garland,CLE,69,40,29,35.5,7.4,3,7.2,42.1,1.3,3.4,39.1,51.2
David Duke Jr.,BKN,23,10,13,9.9,0.3,0.1,0.3,37.5,0,0,0,37.5
Davion Mitchell,SAC,80,47,33,18.1,1.4,0.6,1.7,35.3,0.2,0.8,26.2,41.4
Davon Reed,DEN,43,29,14,8,0.6,0.2,0.7,34.5,0.1,0.1,66.7,41.4
De'Aaron Fox,SAC,73,44,29,33.4,7.9,3.5,8.6,41,0.8,2.7,30.1,45.6
De'Andre Hunter,ATL,67,35,32,31.7,4.2,2,3.9,51,0.2,0.5,38.9,53.6
De'Anthony Melton,PHI,77,50,27,27.9,1.6,0.6,1.8,31.7,0.4,1.3,32,43
DeMar DeRozan,CHI,74,37,37,36.2,9.6,4.8,10.1,47.2,0.1,0.4,30.8,47.8
Dejounte Murray,ATL,74,38,36,36.4,8.5,3.9,8.5,46.3,0.6,1.8,36.4,50.2
Delon Wright,WAS,50,26,24,24.4,1.3,0.5,1.4,37.7,0.3,0.9,34.9,48.6
Dennis Schröder,LAL,66,37,29,30.1,2.8,1.4,3.2,42.1,0.1,0.5,24.2,43.9
Dennis Smith Jr.,CHA,54,19,35,25.7,1.2,0.6,2.3,25.2,0,0.4,5.3,25.6
Deonte Burton,SAC,2,1,1,3.2,0,0,0,-,0,0,-,-
Dereon Seabron,NOP,5,2,3,2.3,0,0,0,-,-,-,-,-
Derrick Rose,NYK,27,12,15,12.5,2.1,0.9,2.1,41.4,0.4,1,38.5,50
Derrick White,BOS,82,57,25,28.3,2,0.8,1.9,44.2,0.3,0.9,35.1,52.9
Desmond Bane,MEM,58,38,20,31.7,5.8,2.3,5.4,42,1.3,3.3,40.1,54.3
Devin Booker,PHX,53,34,19,34.6,10.9,4.9,11,44.3,1.2,3.8,30.9,49.7
Devin Vassell,SAS,38,12,26,31,6.2,2.8,7,40,0.6,2.1,28.2,44.2
Devon Dotson,WAS,6,1,5,8.8,0,0,0.5,0,0,0,-,0
Devonte' Graham,SAS,73,31,42,18.3,2.4,0.9,2.5,35.4,0.6,1.9,32.9,48.1
Dillon Brooks,MEM,73,46,27,30.3,4.1,1.7,5,34.5,0.6,2.1,27.1,40.2
